# Copyright (c) 2026 GiantAccel, LLC
# XStats modifications Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later AND MIT
暂无数据	暫無資料
还没有足够的记录。菜单栏显示电池或打开这个页面时，每分钟记录一次电量	還沒有足夠的記錄。菜單欄顯示電池或打開這個頁面時，每分鐘記錄一次電量
还能用 {}	還能用 {}
这一类没有检测结果	這一類沒有檢測結果
这个小时的免费额度用完了，{} 分钟后可以再试	這個小時的免費額度用完了，{} 分鐘後可以再試
这个小时的免费额度用完了，过一会儿再试	這個小時的免費額度用完了，過一會兒再試
这个快捷键已被其他应用或系统占用，请换一个	這個快捷鍵已被其他應用或系統佔用，請換一個
这台 Mac 不提供功耗读数	這台 Mac 不提供功耗讀數
Apple 智能本机模型当前不可用。	Apple 智能本機模型目前無法使用。
这台 Mac 没有电池	這台 Mac 沒有電池
这台 Mac 没有电池：菜单栏显示电量最低的蓝牙设备，弹窗只列蓝牙设备	這台 Mac 沒有電池：菜單欄顯示電量最低的藍牙設備，彈窗只列藍牙設備
这段时间没有记录	這段時間沒有記錄
这段时间还没有记录。XStats 运行时每分钟记录一次，睡眠与锁屏期间不记录。	這段時間還沒有記錄。XStats 運行時每分鐘記錄一次，睡眠與鎖屏期間不記錄。
这里列出资源库里的 LaunchAgents 与 LaunchDaemons。停用只写入系统的停用记录并卸载，不删除文件，随时可以重新启用；登录时打开的应用与后台权限在系统设置里管理。	這裡列出資源庫里的 LaunchAgents 與 LaunchDaemons。停用只寫入系統的停用記錄並卸載，不刪除文件，隨時可以重新啓用；登錄時打開的應用與後台權限在系統設置里管理。
这里显示已配对蓝牙配件，以及最近 30 分钟内读到的电量	顯示已配對藍牙配件，以及最近 30 分鐘內讀取到的電量
进程	進程
进程 {} · 线程 {}	進程 {} · 線程 {}
进程名：{}	進程名：{}
进程启动以来累计占用的 CPU 时间	進程啓動以來累計佔用的 CPU 時間
进程页刷新频率调整为每 2 秒	進程頁刷新頻率調整為每 2 秒
远端尚无设置文件，请先上传本机设置	遠端尚無設置文件，請先上傳本機設置
远端文件不是有效的 XStats 设置备份，本机设置未更改	遠端文件不是有效的 XStats 設置備份，本機設置未更改
远端文件将替换为当前设置；其他 Mac 的改动不会合并。	遠端文件將替換為當前設置；其他 Mac 的改動不會合併。
远端文件已锁定，请稍后重试	遠端文件已鎖定，請稍後重試
连不上	連不上
连接信息有改动，请先保存配置	連接信息有改動，請先保存配置
连接探测	連接探測
连接探测历史	連接探測歷史
连接探测只在需要时运行，更省电	連接探測只在需要時運行，更省電
退出	退出
退出 XStats	退出 XStats
退出应用	退出應用
退出应用…	退出應用…
退出登录	退出登錄
适中	適中
选择显示项目	選擇顯示項目
选择语言	選擇語言
通用	通用
可选功能	可選功能
通电时间	通電時間
通电次数	通電次數
通知	通知
通知可以正常显示。发生你打开的状况时，会像这样提醒你。	通知可以正常顯示。發生你打開的狀況時，會像這樣提醒你。
通过 {} 登录	通過 {} 登錄
速度与省电介于两者之间	速度與省電介於兩者之間
部分网站直连、部分经代理，每个网站走哪个出口见下方。	部分網站直連、部分經代理，每個網站走哪個出口見下方。
部分项目需要“完全磁盘访问权限”才能扫描（Safari 缓存、废纸篓）。	部分項目需要“完全磁盤訪問權限”才能掃描（Safari 緩存、廢紙簍）。
配置已保存，上传或下载时将验证连接	配置已保存，上傳或下載時將驗證連接
配置方式	配置方式
释放内存	釋放內存
重做	重做
重新分析	重新分析
重新安装	重新安裝
重新扫描	重新掃描
重新查询公网 IP	重新查詢公網 IP
重新检测	重新檢測
重新生成	重新生成
重新读取蓝牙设备电量	重新讀取藍牙設備電量
重置上传与下载统计：从现在起重新累计。重启后自动回到开机后的累计；右键可改回	重置上傳與下載統計：從現在起重新累計。重啓後自動回到開機後的累計；右鍵可改回
重置后上传	重置後上傳
重置后下载	重置後下載
键盘、鼠标、耳机等低于 20% 时，在菜单栏的电池项目旁显示该设备的图标与电量；需要开启电池项目	鍵盤、鼠標、耳機等低於 20% 時，在菜單欄的電池項目旁顯示該設備的圖標與電量；需要開啓電池項目
闲	閒
防休眠	防休眠
防休眠已开启	防休眠已開啓
阿里云	阿里雲
阿里云（223.5.5.5）	阿里雲（223.5.5.5）
降温	降溫
隐私	隱私
隐私政策	隱私政策
法律与隐私	法律與隱私
服务条款	服務條款
了解 XStats 的使用条件与责任边界	了解 XStats 的使用條件與責任範圍
了解本机数据、联网功能与信息处理方式	了解本機資料、連網功能與資訊處理方式
无法读取法律文件	無法讀取法律文件
关闭文档	關閉文件
隐藏 XStats	隱藏 XStats
隐藏序列号	隱藏序列號
需要 macOS 26 及以上，并在系统设置中开启 Apple 智能。	需要 macOS 26 及以上，並在系統設置中開啓 Apple 智能。
需要完全磁盘访问权限	需要完全磁盤訪問權限
需要注意	需要注意
需要管理员授权	需要管理員授權
需要管理员权限。已完成的 Time Machine 备份不受影响，只是本机上这些快照对应的时间点无法再从本地恢复。	需要管理員權限。已完成的 Time Machine 備份不受影響，只是本機上這些快照對應的時間點無法再從本地恢復。
非常干净	非常乾淨
风扇	風扇
风扇 {}	風扇 {}
风扇安全温度	風扇安全溫度
风扇模式	風扇模式
风扇设置	風扇設置
风扇转速	風扇轉速
风格	風格
风险标记	風險標記
风险评分	風險評分
饼图	餅圖
饼图表示当前占用比例	餅圖表示當前佔用比例
首次发送时系统会询问是否允许通知	首次發送時系統會詢問是否允許通知
高占用进程	高佔用進程
高负载	高負載
高负载时着色	高負載時著色
高风险	高風險
默认只在菜单栏运行；打开后，主窗口开着时图标出现在程序坞与 ⌘Tab 中	默認只在菜單欄運行；打開後，主窗口開著時圖標出現在程序塢與 ⌘Tab 中
（{}）	（{}）
，	，
，{} 项未能移动	，{} 項未能移動
，充电中	，充電中
，已从程序坞移除	，已從程序塢移除
：{}	：{}
尚未启用	尚未啟用
正在刷新	正在更新
立即刷新	立即更新
默认关闭	預設關閉
AI 用量与额度	AI 用量與額度
Codex / Claude Code 本机 Token 用量与订阅额度	Codex / Claude Code 本機 Token 用量與訂閱額度
今天	今天
模型	模型
全部模型	全部模型
输入 Token	輸入 Token
输出 Token	輸出 Token
缓存 Token	快取 Token
缓存命中率	快取命中率
用量记录	用量記錄
模型排行	模型排行
启用使用统计	啟用使用統計
订阅额度	訂閱額度
服务端用量 · 与本机 Token 统计不同	服務端用量 · 與本機 Token 統計不同
重置：	重置：
查询失败，显示上次额度	查詢失敗，顯示上次額度
上次额度	上次額度
显示本地用量	顯示本機用量
读取本机会话日志；关闭后停止扫描并隐藏 Token 统计。	讀取本機工作階段記錄；關閉後停止掃描並隱藏 Token 統計。
自动检测 Codex / Claude 订阅额度；本地 Token 统计可单独关闭。	自動偵測 Codex / Claude 訂閱額度；本機 Token 統計可單獨關閉。
暂无额度数据	暫無額度資料
未检测到登录凭据，请先登录对应 CLI	未偵測到登入憑證，請先登入對應的 CLI
登录已失效，请在对应 CLI 重新登录	登入已失效，請在對應的 CLI 重新登入
服务暂时限流，稍后会自动重试	服務暫時限制請求，稍後會自動重試
暂时无法连接额度服务	暫時無法連線至額度服務
额度接口返回了无法识别的数据	額度介面回傳了無法辨識的資料
启用后自动读取本机 CLI 登录凭据，直接向 Codex / Claude 查询额度；凭据不保存到 XStats。	啟用後自動讀取本機 CLI 登入憑證，直接向 Codex / Claude 查詢額度；憑證不會儲存到 XStats。
本机 Token 统计不代表订阅账单或其他设备的用量	本機 Token 統計不代表訂閱帳單或其他裝置的用量
缓存 Token 已包含在输入中，推理 Token 已包含在输出中。	快取 Token 已包含在輸入中，推理 Token 已包含在輸出中。
所选时间范围没有用量记录	所選時間範圍沒有用量記錄
部分会话日志无法读取，统计可能不完整	部分工作階段日誌無法讀取，統計可能不完整
读取失败，显示上次统计结果	讀取失敗，顯示上次統計結果
正在读取会话日志…	正在讀取工作階段日誌…
暂无本机用量数据	暫無本機用量資料
缓存创建 Token	快取建立 Token
Token 活动	Token 活動
每日	每日
每周	每週
{} 当周：{} Tokens	{} 當週：{} Tokens
截至 {} 当周累计：{} Tokens	截至 {} 當週累計：{} Tokens
Apple 智能	Apple Intelligence
日历	日曆
月历	月曆
查看整月的公历、农历与节假日。	查看整個月的公曆、農曆與節假日。
菜单栏日历	選單列日曆
日历设置…	日曆設定…
独立显示日期，点击打开月历；不受指标合并布局影响	獨立顯示日期，點擊開啟月曆；不受指標合併佈局影響
每周开始于	每週開始於
星期一	星期一
星期日	星期日
农历	農曆
星期	星期
法定节假日与调休	法定節假日與調休
传统与公历节日	傳統與公曆節日
二十四节气	二十四節氣
干支	干支
三伏天	三伏天
梅雨天	梅雨天
三伏·梅雨·数九	三伏·梅雨·數九
初伏	初伏
中伏	中伏
末伏	末伏
入梅	入梅
出梅	出梅
一九	一九
二九	二九
三九	三九
四九	四九
五九	五九
六九	六九
七九	七九
八九	八九
九九	九九
{}第{}天	{1}第{2}天
藏历	藏曆
回历	回曆
公历始终显示。藏历与回历显示在日期详情中；梅雨天按传统历法推算，并非天气预报。	公曆始終顯示。藏曆與回曆顯示在日期詳情中；梅雨天按傳統曆法推算，並非天氣預報。
该日期暂无藏历数据	該日期暫無藏曆資料
该年份暂无中国法定假日与调休数据	該年份暫無中國法定假日與調休資料
按传统历法推算，并非天气预报	按傳統曆法推算，並非天氣預報
年份	年份
月份	月份
上个月	上個月
下个月	下個月
班	班
休	休
调休上班	調休上班
放假	放假
春节	春節
元宵节	元宵節
龙头节	龍頭節
上巳节	上巳節
清明节	清明節
端午节	端午節
七夕节	七夕節
中元节	中元節
中秋节	中秋節
重阳节	重陽節
冬至节	冬至節
腊八节	臘八節
除夕	除夕
元旦	元旦
劳动节	勞動節
国庆节	國慶節
国庆中秋	國慶中秋
抗战胜利日	抗戰勝利日
立春	立春
雨水	雨水
惊蛰	驚蟄
春分	春分
清明	清明
谷雨	穀雨
立夏	立夏
小满	小滿
芒种	芒種
夏至	夏至
小暑	小暑
大暑	大暑
立秋	立秋
处暑	處暑
白露	白露
秋分	秋分
寒露	寒露
霜降	霜降
立冬	立冬
小雪	小雪
大雪	大雪
冬至	冬至
小寒	小寒
大寒	大寒
返回月历	返回月曆
控制月历格中的日干支；黄历详情始终显示年月日干支	控制月曆格中的日干支；黃曆詳情始終顯示年月日干支
宜	宜
忌	忌
纳音	納音
冲煞	沖煞
冲{} 煞{}	沖{} 煞{}
值神	值神
建除十二神	建除十二神
吉神宜趋	吉神宜趨
今日胎神	今日胎神
凶神宜忌	凶神宜忌
彭祖百忌	彭祖百忌
二十八星宿	二十八星宿
时辰吉凶	時辰吉凶
子时显示当日早子时；23 点起的晚子时按次日干支计算	子時顯示當日早子時；23 點起的晚子時按次日干支計算
吉	吉
凶	凶
Sub2API 备用额度	Sub2API 備用額度
已配置	已設定
自动查询失败时才使用此 Sub2API 账号；后台不主动探测。	自動查詢失敗時才使用此 Sub2API 帳號；背景不會主動探測。
Sub2API 地址（HTTPS）	Sub2API 位址（HTTPS）
管理员邮箱	管理員電子郵件
管理员密码	管理員密碼
账号 ID	帳號 ID
管理员密码存于本机钥匙串；账号 ID 用于查询额度。	管理員密碼儲存在本機鑰匙圈；帳號 ID 用於查詢額度。
保存并测试连接	保存並測試連線
移除配置	移除設定
Sub2API 配置无效	Sub2API 設定無效
Sub2API 配置无法读取，请检查设置	無法讀取 Sub2API 設定，請檢查設定
Sub2API 配置已保存	Sub2API 設定已儲存
Sub2API 配置已移除	Sub2API 設定已移除
Sub2API 配置移除失败，请检查钥匙串权限	無法移除 Sub2API 設定，請檢查鑰匙圈權限
连接成功，读取到 {} 个额度窗口	連線成功，讀取到 {} 個額度視窗
Sub2API 登录失败，请检查管理员邮箱和密码	Sub2API 登入失敗，請檢查管理員電子郵件和密碼
Sub2API 连接失败，请检查地址、账号 ID 与服务状态	無法連線至 Sub2API，請檢查位址、帳號 ID 與服務狀態
Sub2API 返回了无法识别的额度数据	Sub2API 回傳了無法辨識的額度資料
暂时无法连接 Sub2API	目前無法連線至 Sub2API
请输入有效的 Sub2API HTTPS 地址	請輸入有效的 Sub2API HTTPS 位址
请输入有效的账号 ID	請輸入有效的帳號 ID
请填写管理员邮箱和密码	請填寫管理員電子郵件和密碼
钥匙串读写失败，请检查权限	無法讀寫鑰匙圈，請檢查權限
Sub2API 账号平台与所选来源不匹配	Sub2API 帳號平台與所選來源不符
本机账号可用，当前使用自动额度。	本機帳號可用，目前使用自動額度。
上班	上班
不上班	不上班
暂无安排	暫無安排
暂无法判断	暫時無法判斷
工作日	工作日
周末	週末
节假日	節假日
调休补班	調休補班
调休放假	調休放假
黄道日	黃道日
黑道日	黑道日
查看今天的节日与黄历。	查看今天的節日與黃曆。
明天上班吗	明天要上班嗎
查看明天是否上班或放假。	查看明天是否上班或放假。
休息声音	休息聲音
仅在休息时本地实时合成	僅在休息時於本機即時合成
白噪音	白噪音
粉红噪音	粉紅噪音
雨声	雨聲
让眼睛休息一下	讓眼睛休息一下
看看远处，轻轻眨眼，放松肩颈	看看遠方，輕輕眨眼，放鬆肩頸
长按跳过 · 或按 Esc 随时返回	長按跳過 · 或按 Esc 隨時返回
休息中	休息中
收起迷你 HUD	收起迷你 HUD
护眼休息未开启	護眼休息未開啟
查看下一次休息或当前休息倒计时。	查看下次休息或目前休息的倒數計時。
收起到迷你 HUD	收起到迷你 HUD
番茄钟	番茄鐘
番茄钟与护眼休息	番茄鐘與護眼休息
专注计时、每日目标与多屏休息幕布；所有数据留在本机。	專注計時、每日目標與多螢幕休息幕布；所有資料都留在本機。
专注	專注
短休	短休
长休	長休
单次	單次
循环	循環
计时中	計時中
已暂停	已暫停
暂停	暫停
开始	開始
重置	重設
跳过	跳過
今日目标	今日目標
每完成 4 轮专注后进入长休	每完成 4 輪專注後進入長休
每日目标	每日目標
{} 轮	{} 輪
再专注 5 分钟	再專注 5 分鐘
专注中	專注中
工作时长（分钟）	工作時長（分鐘）
休息时长（分钟）	休息時長（分鐘）
长休时长（分钟）	長休時長（分鐘）
迷你 HUD 样式	迷你 HUD 樣式
数字倒计时	數字倒數
进度圆环	進度圓環
沙漏	沙漏
切换迷你 HUD 样式	切換迷你 HUD 樣式
拖动迷你 HUD	拖曳迷你 HUD
继续	繼續
VPN 不允许绕开它直连，TCP 建连会被本机代理提前应答，测不出真实延迟。关掉 VPN 再测	VPN 不允許繞過它直連，本機代理會提前回應 TCP 連線，無法測出真實延遲。請關閉 VPN 後再測
国内节点只能测 TCP 建连，经代理测不准，所以始终直连测	國內節點只能測量 TCP 連線時間，經代理會失準，因此一律直連測量
检测到 {}。直连会绕开它，测的是本机宽带；经 {} 测的是代理线路	偵測到 {}。直連會繞過它測量本機寬頻；經 {} 則測量代理線路
