# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
设备不支持	Dispositivo no compatible
设置风扇目标转速，或恢复系统自动控制	Configurar velocidad objetivo o restaurar control automático de ventiladores
评分由 cleanip.io 提供，点击查看完整报告	Puntuación de cleanip.io. Pulsa para ver el informe completo
该项目在菜单栏里的实时效果	Vista previa en directo de este elemento en la barra de menús
详情关闭时，菜单栏显示网络项期间每 {} 秒探测一次，打开详情就能看到最近的连接情况；关闭后只在打开详情时探测，更省电	Con los detalles cerrados y Red en la barra de menús, realiza sondeos cada {} segundos para tener resultados recientes al abrirlos. Desactívalo para sondear solo con los detalles abiertos y ahorrar energía.
语言	Idioma
请从菜单退出 XStats	Sal de XStats desde su menú
请先保存 WebDAV 配置	Guarda primero la configuración WebDAV
请先在“系统设置 → Apple 智能与 Siri”中开启 Apple 智能。	Activa Apple Intelligence en Ajustes del Sistema → Apple Intelligence y Siri.
请在“系统设置 › 通用 › 登录项”中允许 XStats 的后台项目。	Permite XStats en Ajustes del Sistema › General › Ítems de inicio.
请填写一个域名，例如 example.com	Introduce un dominio, por ejemplo example.com
请填写已存在的 HTTPS 目录；文件名固定为 xstats-settings.json。	Introduce un directorio HTTPS existente. El archivo se llama xstats-settings.json.
请打开系统自带的“磁盘工具”，选择启动盘运行“急救”进行修复	Abre Utilidad de Discos, selecciona el disco de arranque y ejecuta Primera Ayuda para repararlo
请输入 WebDAV 密码或应用专用密码	Introduce la contraseña WebDAV o de aplicación
请输入 WebDAV 用户名，不能包含冒号或控制字符	Introduce un usuario WebDAV sin dos puntos ni caracteres de control
请输入有效的 HTTPS WebDAV 目录地址，不要包含账号、查询参数或片段	Introduce una URL HTTPS válida de directorio WebDAV sin credenciales, parámetros ni fragmentos
读 {} · 写 {}	Lectura {} · Escritura {}
读写最多的应用	Mayor actividad de disco
读写速度	Lectura y escritura
读到了这次连接的出口	Se leyó directamente la salida de esta conexión
读取	Lectura
读取中	Cargando
调节风扇需要安装辅助工具，仅需管理员授权一次。	El control de ventiladores requiere el auxiliar, con autorización de administrador una sola vez.
调速模式	Modo de ventilador
负载在上升	Carga en aumento
负载在下降	Carga en descenso
负载平稳	Carga estable
账号	Cuenta
账号与云端设置会立即删除，无法恢复。	La cuenta y los ajustes de la nube se eliminan inmediatamente y no se pueden recuperar.
账号与同步	Cuenta y sincronización
走势图显示最近多长时间	Periodo mostrado en el gráfico de tendencia
走势时长	Duración de tendencia
超时	Tiempo agotado
超级核	Súper
超过 1 天未更新的 .crdownload / .part / .download	Archivos .crdownload / .part / .download sin cambios desde hace más de un día
跟随整体	Seguir estilo general
跟随整体（{}）	Seguir general ({})
跟随系统	Sistema
路径不可读	Ruta no legible
路径包含 ..	La ruta contiene ..
路径包含控制字符	La ruta contiene caracteres de control
路由器	Router
路由器（网关）	Router (puerta de enlace)
跳过 {} 项	{} omitidos
跳过此版本	Omitir esta versión
转速 {}	Velocidad {}
转速最高的风扇	Ventilador más rápido
软件更新	Actualización de software
轻量的 macOS 菜单栏系统监控：CPU、GPU、内存、网络、温度、风扇、防休眠与清理。	Monitor ligero en la barra de menús de macOS: CPU, GPU, memoria, red, temperatura, ventiladores, prevención de reposo y limpieza.
较弱	Débil
辅助工具	Auxiliar
辅助工具未启用	El auxiliar no está activado
辅助工具版本比应用旧，部分功能可能无法使用，请重新安装一次（需要管理员授权）。	El auxiliar es anterior a la app y algunas funciones podrían fallar. Reinstálalo (requiere autorización de administrador).
过热温度	Umbral de sobrecalentamiento
运行中 · PID {}	En ejecución · PID {}
还可用	Disponible
还有 {} 个	{} más
还没有足够的记录。菜单栏显示电池或打开这个页面时，每分钟记录一次电量	Aún no hay suficientes registros. Se guarda el nivel cada minuto mientras Batería esté en la barra de menús o esta página esté abierta
还能用 {}	{} restantes
这一类没有检测结果	Sin resultados en esta categoría
这个小时的免费额度用完了，{} 分钟后可以再试	Se agotó la cuota gratuita de esta hora; reintenta en {} minutos
这个小时的免费额度用完了，过一会儿再试	Se agotó la cuota gratuita de esta hora; inténtalo más tarde
这个快捷键已被其他应用或系统占用，请换一个	Otra app o el sistema usa este atajo. Elige otro.
这台 Mac 不提供功耗读数	Este Mac no informa del consumo
Apple 智能本机模型当前不可用。	El modelo de Apple Intelligence en el dispositivo no está disponible en este momento.
这台 Mac 没有电池	Este Mac no tiene batería
这台 Mac 没有电池：菜单栏显示电量最低的蓝牙设备，弹窗只列蓝牙设备	Este Mac no tiene batería: la barra de menús muestra el dispositivo Bluetooth con menos carga y la ventana emergente solo dispositivos Bluetooth
这段时间没有记录	Sin registros en este periodo
这段时间还没有记录。XStats 运行时每分钟记录一次，睡眠与锁屏期间不记录。	Aún no hay registros. XStats registra cada minuto mientras funciona, excepto durante el reposo y el bloqueo.
这里列出资源库里的 LaunchAgents 与 LaunchDaemons。停用只写入系统的停用记录并卸载，不删除文件，随时可以重新启用；登录时打开的应用与后台权限在系统设置里管理。	Muestra LaunchAgents y LaunchDaemons de tus bibliotecas. Desactivarlos registra el estado y los descarga sin borrar archivos, por lo que puedes reactivarlos. Las apps de inicio y permisos en segundo plano se gestionan en Ajustes del Sistema.
这里显示已配对蓝牙配件，以及最近 30 分钟内读到的电量	Muestra accesorios Bluetooth enlazados y baterías leídas en los últimos 30 minutos
进程	Procesos
进程 {} · 线程 {}	Procesos {} · Hilos {}
进程名：{}	Nombre del proceso: {}
进程启动以来累计占用的 CPU 时间	Tiempo total de CPU desde el inicio del proceso
进程页刷新频率调整为每 2 秒	La página Procesos se actualiza ahora cada 2 segundos
远端尚无设置文件，请先上传本机设置	No hay archivo remoto de ajustes. Sube primero los ajustes locales
远端文件不是有效的 XStats 设置备份，本机设置未更改	El archivo remoto no es una copia válida de XStats. No se han cambiado los ajustes locales
远端文件将替换为当前设置；其他 Mac 的改动不会合并。	El archivo remoto se sustituirá por estos ajustes. No se combinarán cambios de otros Mac.
远端文件已锁定，请稍后重试	El archivo remoto está bloqueado. Inténtalo más tarde
连不上	Inaccesible
连接信息有改动，请先保存配置	Los datos de conexión cambiaron. Guarda primero la configuración
连接探测	Conectividad
连接探测历史	Historial de sondeos
连接探测只在需要时运行，更省电	El sondeo solo se ejecuta cuando hace falta para ahorrar energía
退出	Salir
退出 XStats	Salir de XStats
退出应用	Salir de la app
退出应用…	Salir de la app…
退出登录	Cerrar sesión
适中	Moderado
选择显示项目	Elegir elementos
选择语言	Elegir idioma
通用	General
可选功能	Funciones opcionales
通电时间	Horas encendido
通电次数	Ciclos de encendido
通知	Notificaciones
通知可以正常显示。发生你打开的状况时，会像这样提醒你。	Las notificaciones funcionan. Recibirás una alerta así cuando ocurra alguna condición activada.
通过 {} 登录	Sesión iniciada con {}
速度与省电介于两者之间	Velocidad y eficiencia intermedias
部分网站直连、部分经代理，每个网站走哪个出口见下方。	Algunos sitios conectan directamente y otros por proxy. Consulta abajo la salida de cada uno.
部分项目需要“完全磁盘访问权限”才能扫描（Safari 缓存、废纸篓）。	Algunos elementos requieren acceso total al disco para analizarse (cachés de Safari, Papelera).
配置已保存，上传或下载时将验证连接	Configuración guardada. La conexión se verificará al subir o descargar
配置方式	Configuración
释放内存	Liberar memoria
重做	Rehacer
重新分析	Analizar de nuevo
重新安装	Reinstalar
重新扫描	Volver a analizar
重新查询公网 IP	Consultar IP pública de nuevo
重新检测	Comprobar de nuevo
重新生成	Regenerar
重新读取蓝牙设备电量	Volver a leer baterías Bluetooth
重置上传与下载统计：从现在起重新累计。重启后自动回到开机后的累计；右键可改回	Reinicia los totales de subida y bajada para contar desde ahora. Tras reiniciar vuelven al total desde el arranque; también puedes restaurarlo con clic derecho
重置后上传	Subido desde el reinicio de estadísticas
重置后下载	Descargado desde el reinicio de estadísticas
键盘、鼠标、耳机等低于 20% 时，在菜单栏的电池项目旁显示该设备的图标与电量；需要开启电池项目	Cuando un teclado, ratón o auriculares bajen del 20%, muestra su icono y nivel junto a Batería en la barra de menús; requiere activar Batería
闲	Inactivo
防休眠	Mantener activo
防休眠已开启	Mantener activo está activado
阿里云	Alibaba Cloud
阿里云（223.5.5.5）	Alibaba Cloud (223.5.5.5)
降温	Refrigeración
隐私	Privacidad
隐私政策	Política de privacidad
法律与隐私	Avisos legales y privacidad
服务条款	Términos del servicio
了解 XStats 的使用条件与责任边界	Condiciones de uso y responsabilidades de XStats
了解本机数据、联网功能与信息处理方式	Cómo se tratan los datos locales y las funciones en línea
无法读取法律文件	No se pudo cargar el documento legal
关闭文档	Cerrar
隐藏 XStats	Ocultar XStats
隐藏序列号	Ocultar número de serie
需要 macOS 26 及以上，并在系统设置中开启 Apple 智能。	Requiere macOS 26 o posterior con Apple Intelligence activado en Ajustes del Sistema.
需要完全磁盘访问权限	Requiere acceso total al disco
需要注意	Requiere atención
需要管理员授权	Requiere autorización de administrador
需要管理员权限。已完成的 Time Machine 备份不受影响，只是本机上这些快照对应的时间点无法再从本地恢复。	Requiere permisos de administrador. No afecta a copias completadas de Time Machine; solo impide restaurar localmente los momentos de estas instantáneas.
非常干净	Muy limpio
风扇	Ventiladores
风扇 {}	Ventilador {}
风扇安全温度	Temperatura de seguridad del ventilador
风扇模式	Modo de ventilador
风扇设置	Ajustes de ventiladores
风扇转速	Velocidad del ventilador
风格	Estilo
风险标记	Indicadores de riesgo
风险评分	Puntuación de riesgo
饼图	Gráfico circular
饼图表示当前占用比例	Un gráfico circular muestra el uso actual
首次发送时系统会询问是否允许通知	El sistema pide permiso la primera vez
高占用进程	Procesos con mayor uso
高负载	Carga alta
高负载时着色	Colorear carga alta
高风险	Riesgo alto
默认只在菜单栏运行；打开后，主窗口开着时图标出现在程序坞与 ⌘Tab 中	XStats funciona en la barra de menús por defecto. Actívalo para mostrar su icono en el Dock y ⌘Tab mientras la ventana principal esté abierta
（{}）	 ({})
，	, 
，{} 项未能移动	, no se pudieron mover {}
，充电中	, cargando
，已从程序坞移除	, eliminado del Dock
：{}	: {}
尚未启用	No activado
正在刷新	Actualizando
立即刷新	Actualizar ahora
默认关闭	Desactivado por defecto
AI 用量与额度	Uso y cuotas de IA
Codex / Claude Code 本机 Token 用量与订阅额度	Tokens locales de Codex / Claude Code y cuotas de suscripción
今天	Hoy
模型	Modelo
全部模型	Todos los modelos
输入 Token	Tokens de entrada
输出 Token	Tokens de salida
缓存 Token	Tokens en caché
缓存命中率	Tasa de aciertos de caché
用量记录	Registros de uso
模型排行	Clasificación de modelos
启用使用统计	Activar estadísticas
启用后读取本机会话日志，并使用本机登录凭据向 Codex / Claude 查询订阅额度。	When enabled, reads local session logs and uses local login credentials to query Codex / Claude subscription usage.
统计本机会话 Token，并使用本机登录凭据自动查询 Codex / Claude 订阅额度。	Counts local session tokens and automatically queries Codex / Claude subscription usage with local login credentials.
订阅额度	Subscription usage
服务端用量 · 与本机 Token 统计不同	Server usage · separate from local token statistics
重置：	Resets:
查询失败，显示上次额度	Query failed; showing previous quota
上次额度	Cuota anterior
暂无额度数据	No quota data yet
未检测到登录凭据，请先登录对应 CLI	No login credentials found; sign in with the corresponding CLI
登录已失效，请在对应 CLI 重新登录	Login expired; sign in again with the corresponding CLI
服务暂时限流，稍后会自动重试	Rate limited; will retry later
暂时无法连接额度服务	Cannot connect to the quota service right now
额度接口返回了无法识别的数据	The quota service returned unrecognized data
启用后自动读取本机 CLI 登录凭据，直接向 Codex / Claude 查询额度；凭据不保存到 XStats。	When enabled, reads local CLI login credentials and queries Codex / Claude directly; XStats does not save the credentials.
本机 Token 统计不代表订阅账单或其他设备的用量	Local token statistics are not a subscription bill or usage from other devices
缓存 Token 已包含在输入中，推理 Token 已包含在输出中。	Los tokens en caché están incluidos en la entrada y los de razonamiento en la salida.
所选时间范围没有用量记录	Sin uso en este período
部分会话日志无法读取，统计可能不完整	Algunos registros no se pudieron leer; las estadísticas pueden estar incompletas
读取失败，显示上次统计结果	Error de lectura; se muestran estadísticas anteriores
正在读取会话日志…	Leyendo registros de sesiones…
暂无本机用量数据	Sin datos de uso local
缓存创建 Token	Tokens de creación de caché
Token 活动	Actividad de tokens
每日	Diario
每周	Semanal
{} 当周：{} Tokens	Semana del {}: {} Tokens
截至 {} 当周累计：{} Tokens	Acumulado hasta la semana del {}: {} Tokens
Apple 智能	Apple Intelligence
日历	Calendario
菜单栏日历	Calendario de la barra de menús
日历设置…	Ajustes del calendario…
独立显示日期，点击打开月历；不受指标合并布局影响	Muestra la fecha por separado; haz clic para abrir el calendario, incluso con métricas combinadas
每周开始于	Primer día de la semana
星期一	Lunes
星期日	Domingo
农历	Calendario lunar chino
星期	Días de la semana
法定节假日与调休	Festivos y días laborales compensatorios
传统与公历节日	Fiestas tradicionales y gregorianas
二十四节气	24 términos solares
干支	Ciclo sexagenario
三伏天	Días caniculares
梅雨天	Lluvias de ciruela tradicionales
藏历	Calendario tibetano
回历	Calendario hiyri
公历始终显示。藏历与回历显示在日期详情中；梅雨天按传统历法推算，并非天气预报。	Las fechas gregorianas siempre se muestran. Los calendarios tibetano e hiyri aparecen en los detalles del día. Las lluvias de ciruela se calculan según reglas tradicionales, no son pronósticos.
该日期暂无藏历数据	No hay datos del calendario tibetano para esta fecha
该年份暂无中国法定假日与调休数据	No hay datos de festivos chinos ni días laborales compensatorios para este año
按传统历法推算，并非天气预报	Cálculo del calendario tradicional, no un pronóstico
年份	Año
月份	Mes
上个月	Mes anterior
下个月	Mes siguiente
班	T
休	D
调休上班	Día laboral compensatorio
放假	Festivo
春节	Fiesta de la Primavera
元宵节	Fiesta de los Faroles
龙头节	Longtaitou
上巳节	Fiesta de Shangsi
清明节	Fiesta de Qingming
端午节	Fiesta del Bote del Dragón
七夕节	Fiesta de Qixi
中元节	Fiesta de los Fantasmas
中秋节	Fiesta del Medio Otoño
重阳节	Fiesta del Doble Nueve
冬至节	Fiesta del Solsticio de Invierno
腊八节	Fiesta de Laba
除夕	Víspera del Año Nuevo Lunar
元旦	Año Nuevo
劳动节	Día del Trabajo
国庆节	Fiesta Nacional
国庆中秋	Fiesta Nacional / Medio Otoño
抗战胜利日	Día de la Victoria
立春	Inicio de la primavera
雨水	Agua de lluvia
惊蛰	Despertar de los insectos
春分	Equinoccio de primavera
清明	Claridad pura
谷雨	Lluvia para el grano
立夏	Inicio del verano
小满	Pequeña abundancia
芒种	Grano en espiga
夏至	Solsticio de verano
小暑	Calor menor
大暑	Calor mayor
立秋	Inicio del otoño
处暑	Fin del calor
白露	Rocío blanco
秋分	Equinoccio de otoño
寒露	Rocío frío
霜降	Descenso de la escarcha
立冬	Inicio del invierno
小雪	Nieve menor
大雪	Nieve mayor
冬至	Solsticio de invierno
小寒	Frío menor
大寒	Frío mayor
返回月历	Volver al calendario
控制月历格中的日干支；黄历详情始终显示年月日干支	Muestra el ciclo diario en las celdas; el almanaque siempre incluye los ciclos del año, mes y día
宜	Favorable
忌	Evitar
纳音	Na Yin
冲煞	Conflicto / Sha
冲{} 煞{}	Conflicto: {} · Sha: {}
值神	Deidad del día
建除十二神	Doce oficiales
吉神宜趋	Deidades favorables
今日胎神	Deidad fetal
凶神宜忌	Deidades desfavorables
彭祖百忌	Tabúes de Peng Zu
二十八星宿	Mansiones lunares
时辰吉凶	Fortuna horaria
子时显示当日早子时；23 点起的晚子时按次日干支计算	Zi muestra 00:00–00:59; desde las 23:00 usa el ciclo del día siguiente
吉	Bueno
凶	Malo
Sub2API 备用额度	Cuota de respaldo de Sub2API
已配置	Configurado
自动查询失败时才使用此 Sub2API 账号；后台不主动探测。	Esta cuenta de Sub2API solo se usa si falla la consulta automática; las consultas en segundo plano no activan sondeos activos.
Sub2API 地址（HTTPS）	Dirección de Sub2API (HTTPS)
管理员邮箱	Correo del administrador
管理员密码	Contraseña del administrador
账号 ID	ID de la cuenta
管理员密码存于本机钥匙串；账号 ID 用于查询额度。	La contraseña del administrador queda en el llavero de este Mac; el ID de la cuenta determina la cuota consultada.
保存并测试连接	Guardar y probar conexión
移除配置	Eliminar configuración
Sub2API 配置无效	Configuración de Sub2API no válida
Sub2API 配置无法读取，请检查设置	No se puede leer la configuración de Sub2API; revisa los ajustes
Sub2API 配置已保存	Configuración de Sub2API guardada
Sub2API 配置已移除	Configuración de Sub2API eliminada
Sub2API 配置移除失败，请检查钥匙串权限	No se pudo eliminar la configuración de Sub2API; revisa el acceso al llavero
连接成功，读取到 {} 个额度窗口	Conexión correcta; se leyeron {} ventanas de cuota
Sub2API 登录失败，请检查管理员邮箱和密码	Error al iniciar sesión en Sub2API; revisa el correo y la contraseña del administrador
Sub2API 连接失败，请检查地址、账号 ID 与服务状态	No se puede conectar con Sub2API; revisa la dirección, el ID de la cuenta y el servidor
Sub2API 返回了无法识别的额度数据	Sub2API devolvió datos de cuota no reconocidos
暂时无法连接 Sub2API	Sub2API no está disponible en este momento
请输入有效的 Sub2API HTTPS 地址	Introduce una dirección HTTPS de Sub2API válida
请输入有效的账号 ID	Introduce un ID de cuenta válido
请填写管理员邮箱和密码	Introduce el correo y la contraseña del administrador
钥匙串读写失败，请检查权限	No se puede acceder al llavero; revisa los permisos
Sub2API 账号平台与所选来源不匹配	La plataforma de la cuenta de Sub2API no coincide con la fuente seleccionada
本机账号可用，当前使用自动额度。	La cuenta local está disponible; se usan los datos de cuota consultados automáticamente.
