# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
窗口状态	Gesicherter Zustand
立即切换；显示器、应用名称等由系统提供的文字在下次启动时切换	Sofort wirksam; vom System gelieferte Texte wie Bildschirm- und App-Namen wechseln beim nächsten Start
立即同步	Jetzt synchronisieren
竖向电量条表示当前占用比例	Eine senkrechte Anzeige zeigt die aktuelle Auslastung
等待批准	Wartet auf Freigabe
等待选择	Wartet auf Ihre Auswahl
签名团队	Signierendes Team
签名方：{}	Signiert von: {}
签名校验未通过：{}	Signaturprüfung fehlgeschlagen: {}
粘贴	Einsetzen
系统	System
系统代理	Systemproxy
系统或其他用户的进程，XStats 不提供结束	Prozess des Systems oder eines anderen Benutzers; XStats kann ihn nicht beenden
系统服务	Systemdienste
系统正在把内存写到磁盘，可能会变慢。可以关掉占用大的应用。	Das System lagert Arbeitsspeicher auf das Laufwerk aus und kann langsamer werden. Beenden Sie speicherintensive Apps.
系统版号	Build
系统电池设置…	System-Batterieeinstellungen …
系统级资源库（第三方驱动、辅助工具或后台服务）	System-Library (Drittanbietertreiber, Hilfsprogramme oder Hintergrunddienste)
系统维护	Wartung
系统自动	Automatisch
系统自带的应用不能卸载	Integrierte Apps können nicht deinstalliert werden
系统调节	System
累计写入	Daten geschrieben
累计读取	Daten gelesen
繁忙	Ausgelastet
纯净度 {} 分	IP-Reputationswert {}
纯净度看信誉、来路、邻居与网络类型四项；机房 IP 常见信誉高、来路和类型偏低。数据来自 cleanip.io	Die Bewertung berücksichtigt Ruf, Herkunft, Nachbaradressen und Netzwerktyp. Rechenzentrums-IPs haben oft einen guten Ruf, aber schwächere Herkunfts- und Typwerte. Daten von cleanip.io
线程	Threads
线程 {}	Threads {}
线程数（只能读取自己的进程）	Threadanzahl (nur eigene Prozesse)
经 Cloudflare {} 边缘节点	Über Cloudflare-Knoten {}
经 {}	Über {}
经 {} 直接连接	Direkt über {}
经代理	Über Proxy
结束 {} 失败：{}	{} konnte nicht beendet werden: {}
结束“{}”？	„{}“ beenden?
结束它会注销当前用户，已禁止	Das Beenden würde Sie abmelden und ist daher gesperrt
结束进程…	Prozess beenden …
统一内存（CPU 与 GPU 共享）	Gemeinsamer Arbeitsspeicher (CPU und GPU)
统计家目录里每个文件夹占多少空间，并找出最大的文件；只读取大小，不改动任何文件。文件多时需要几十秒。	Ermittelt die Größe jedes Ordners in Ihrem Benutzerordner und die größten Dateien. Es werden nur Größen gelesen, keine Dateien geändert. Bei vielen Dateien kann es etwa eine Minute dauern.
继续运行	Weiterlaufen lassen
绿色正常、橙色偏高（60% 以上）、红色很高（85% 以上）	Grün: normal, Orange: hoch (über 60 %), Rot: sehr hoch (über 85 %)
缓存	Caches
缓存与日志直接删除，下载内容移到废纸篓。	Caches und Protokolle werden direkt gelöscht, Downloads in den Papierkorb verschoben.
缓存也先移到废纸篓	Auch Caches in den Papierkorb verschieben
编辑	Bearbeiten
网站	Website
网站分流	Website-Routing
网站没有接入 Cloudflare，读不到出口，按国内 / 国际规则归到对应出口	Diese Website nutzt kein Cloudflare; ihr Ausgang ist nicht direkt ermittelbar und wird anhand der China-/Auslandsregel zugeordnet
网络	Netzwerk
网络不通	Keine Verbindung
网络名称	Netzwerkname
网络已恢复	Netzwerk wieder verfügbar
网络断开	Netzwerk unterbrochen
网络测速	Netzwerk-Geschwindigkeitstest
网络环境变了，下面是之前的结果，正在重新检测。	Das Netzwerk hat sich geändert. Unten stehen die bisherigen Ergebnisse; eine neue Prüfung läuft.
网络类型	Netzwerktyp
网络详情打开时每秒 ping 一次，通了是绿格、不通是红格，显示最近 60 次	Bei geöffneten Netzwerkdetails jede Sekunde ein Ping: grün bei Erreichbarkeit, rot sonst. Zeigt die letzten 60 Prüfungen
网络运营方	Netzbetreiber
网络连接中断超过 20 秒，恢复后再提示一次	Netzwerk seit über 20 Sekunden unterbrochen; erneute Mitteilung bei Wiederherstellung
网络连接已中断超过 20 秒。可以打开网络详情查看接口与路由器状态。	Das Netzwerk ist seit über 20 Sekunden unterbrochen. Öffnen Sie die Netzwerkdetails, um Schnittstelle und Router zu prüfen.
网络连接已经恢复。	Die Netzwerkverbindung ist wiederhergestellt.
网络：{}	Netzwerk: {}
网页数据	Webdaten
网页缓存与脚本缓存，不涉及 Cookie、历史记录和密码	Web- und Skript-Caches; Cookies, Verlauf und Passwörter bleiben unberührt
置信度	Zuverlässigkeit
联动	Reserviert
能效核	Effizienz
腾讯 DNSPod	Tencent DNSPod
腾讯（119.29.29.29）	Tencent (119.29.29.29)
自 {} 起	Seit {}
自动	Automatisch
自动代理配置	Automatische Proxy-Konfiguration
自动检查更新	Automatisch nach Updates suchen
自动检测	Automatisch erkennen
自动（由路由器分配）	Automatisch (vom Router)
自定义	Eigene Einstellung
自定义模式下 CPU 达到 {}°C 会自动交还系统控制；退出应用时风扇恢复自动。	Im benutzerdefinierten Modus übernimmt das System bei {} °C CPU-Temperatur die Lüftersteuerung. Beim Beenden werden die Lüfter auf Automatik zurückgesetzt.
自定义转速时，CPU 达到该温度自动恢复系统控制	Bei eigener Drehzahl übernimmt das System ab dieser CPU-Temperatur wieder die Steuerung
自己的进程为实际占用内存，系统进程为常驻内存	Bei eigenen Prozessen tatsächlicher Speicherbedarf, bei Systemprozessen residenter Speicher
致谢	Danksagung
良好	Gut
节点	Knoten
芯片	Chip
菜单栏	Menüleiste
菜单栏图标	Menüleistensymbole
菜单栏布局	Menüleistenlayout
菜单栏里的图标可以调整顺序：按住 ⌘ 键拖动任意一个，松开后位置会一直保留。新开启的项目由系统安排位置，可能离其他图标较远，拖一下就能挪到一起。	Menüleistensymbole lassen sich mit gedrückter ⌘-Taste verschieben; die Position bleibt gespeichert. Neue Elemente platziert macOS eventuell weiter entfernt. Ziehen Sie sie einfach zu den anderen.
菜单栏里还没有开启任何项目。	Noch keine Elemente in der Menüleiste aktiviert.
菜单栏项目	Menüleistenelemente
菜单栏风格	Menüleistenstil
蓝牙设备	Bluetooth-Geräte
蓝牙设备电量 {}%	Bluetooth-Gerätebatterie {} %
蓝牙设备电量低	Bluetooth-Batterie schwach
蓝牙设备电量低时提示	Hinweis bei schwacher Bluetooth-Batterie
覆盖远端设置？	Entfernte Einstellungen überschreiben?
解压失败：{}	Entpacken fehlgeschlagen: {}
计算中	Wird berechnet
记录历史数据	Verlauf aufzeichnen
设置	Einstellungen
设置 · {}	Einstellungen · {}
设置…	Einstellungen …
设置同步	Einstellungen synchronisieren
设置备份版本不受支持，请先更新 XStats	Diese Sicherungsversion wird nicht unterstützt. Zuerst XStats aktualisieren
设置改动后 2 秒内上传；启动、唤醒与每 15 分钟检查一次云端	Änderungen werden innerhalb von 2 Sekunden hochgeladen; Cloud-Prüfung beim Start, Aufwachen und alle 15 Minuten
设置文件超过 1 MB，已停止同步	Die Einstellungsdatei überschreitet 1 MB. Synchronisierung angehalten
设置风扇目标转速，或恢复系统自动控制	Lüfter-Zieldrehzahlen festlegen oder automatische Systemsteuerung wiederherstellen
评分由 cleanip.io 提供，点击查看完整报告	Bewertung von cleanip.io. Zum Öffnen des vollständigen Berichts klicken
该项目在菜单栏里的实时效果	Live-Vorschau dieses Elements in der Menüleiste
详情关闭时，菜单栏显示网络项期间每 {} 秒探测一次，打开详情就能看到最近的连接情况；关闭后只在打开详情时探测，更省电	Bei geschlossenen Details und sichtbarem Netzwerkelement wird alle {} Sekunden geprüft, sodass aktuelle Ergebnisse beim Öffnen bereitstehen. Deaktivieren, um nur bei offenen Details zu prüfen und Energie zu sparen.
语言	Sprache
请从菜单退出 XStats	XStats über das Menü beenden
请先保存 WebDAV 配置	Zuerst die WebDAV-Konfiguration sichern
请先在“系统设置 → Apple 智能与 Siri”中开启 Apple 智能。	Zuerst Apple Intelligence unter „Systemeinstellungen → Apple Intelligence & Siri“ aktivieren.
请在“系统设置 › 通用 › 登录项”中允许 XStats 的后台项目。	Erlauben Sie XStats als Hintergrundobjekt unter „Systemeinstellungen › Allgemein › Anmeldeobjekte“.
请填写一个域名，例如 example.com	Eine Domain eingeben, z. B. example.com
请填写已存在的 HTTPS 目录；文件名固定为 xstats-settings.json。	Ein vorhandenes HTTPS-Verzeichnis eingeben. Der Dateiname lautet xstats-settings.json.
请打开系统自带的“磁盘工具”，选择启动盘运行“急救”进行修复	Öffnen Sie das Festplattendienstprogramm, wählen Sie das Startvolume und führen Sie zur Reparatur „Erste Hilfe“ aus
请输入 WebDAV 密码或应用专用密码	WebDAV-Passwort oder App-Passwort eingeben
请输入 WebDAV 用户名，不能包含冒号或控制字符	WebDAV-Benutzernamen ohne Doppelpunkte oder Steuerzeichen eingeben
请输入有效的 HTTPS WebDAV 目录地址，不要包含账号、查询参数或片段	Gültige HTTPS-WebDAV-Verzeichnis-URL ohne Zugangsdaten, Abfrageparameter oder Fragment eingeben
读 {} · 写 {}	Lesen {} · Schreiben {}
读写最多的应用	Apps mit höchster Laufwerksaktivität
读写速度	Lesen und Schreiben
读到了这次连接的出口	Der Ausgang dieser Verbindung wurde direkt ermittelt
读取	Lesen
读取中	Wird geladen
调节风扇需要安装辅助工具，仅需管理员授权一次。	Zur Lüftersteuerung muss das Hilfsprogramm installiert werden; eine einmalige Administratorfreigabe genügt.
调速模式	Lüftermodus
负载在上升	Auslastung steigt
负载在下降	Auslastung sinkt
负载平稳	Auslastung stabil
账号	Konto
账号与云端设置会立即删除，无法恢复。	Konto und Cloud-Einstellungen werden sofort unwiderruflich gelöscht.
账号与同步	Konto und Synchronisierung
走势图显示最近多长时间	Zeitraum, den das Verlaufsdiagramm anzeigt
走势时长	Verlaufsdauer
超时	Zeitüberschreitung
超级核	Super
超过 1 天未更新的 .crdownload / .part / .download	.crdownload / .part / .download-Dateien ohne Änderung seit über einem Tag
跟随整体	Gesamtstil verwenden
跟随整体（{}）	Gesamtstil verwenden ({})
跟随系统	Wie System
路径不可读	Pfad nicht lesbar
路径包含 ..	Pfad enthält ..
路径包含控制字符	Pfad enthält Steuerzeichen
路由器	Router
路由器（网关）	Router (Gateway)
跳过 {} 项	{} übersprungen
跳过此版本	Diese Version überspringen
转速 {}	Drehzahl {}
转速最高的风扇	Schnellster Lüfter
软件更新	Softwareupdate
轻量的 macOS 菜单栏系统监控：CPU、GPU、内存、网络、温度、风扇、防休眠与清理。	Leichte Systemüberwachung in der macOS-Menüleiste: CPU, GPU, Arbeitsspeicher, Netzwerk, Temperatur, Lüfter, Wachhalten und Bereinigung.
较弱	Schwach
辅助工具	Hilfsprogramm
辅助工具未启用	Hilfsprogramm nicht aktiviert
辅助工具版本比应用旧，部分功能可能无法使用，请重新安装一次（需要管理员授权）。	Das Hilfsprogramm ist älter als die App; einige Funktionen sind eventuell nicht verfügbar. Bitte neu installieren (Administratorfreigabe erforderlich).
过热温度	Überhitzungsgrenze
运行中 · PID {}	Läuft · PID {}
还可用	Verfügbar
还有 {} 个	{} weitere
还没有足够的记录。菜单栏显示电池或打开这个页面时，每分钟记录一次电量	Noch nicht genügend Aufzeichnungen. Der Ladestand wird jede Minute erfasst, solange Batterie in der Menüleiste oder diese Seite geöffnet ist
还能用 {}	Noch {}
这一类没有检测结果	Keine Ergebnisse in dieser Kategorie
这个小时的免费额度用完了，{} 分钟后可以再试	Das kostenlose Kontingent dieser Stunde ist aufgebraucht; in {} Minuten erneut versuchen
这个小时的免费额度用完了，过一会儿再试	Das kostenlose Kontingent dieser Stunde ist aufgebraucht; später erneut versuchen
这个快捷键已被其他应用或系统占用，请换一个	Dieser Kurzbefehl wird vom System oder einer anderen App verwendet. Wählen Sie einen anderen.
这台 Mac 不提供功耗读数	Dieser Mac liefert keine Leistungswerte
这台 Mac 不支持 Apple 智能。	Dieser Mac unterstützt Apple Intelligence nicht.
这台 Mac 没有电池	Dieser Mac hat keine Batterie
这台 Mac 没有电池：菜单栏显示电量最低的蓝牙设备，弹窗只列蓝牙设备	Dieser Mac hat keine Batterie: Die Menüleiste zeigt das Bluetooth-Gerät mit dem niedrigsten Ladestand; das Popover listet nur Bluetooth-Geräte
这段时间没有记录	Keine Aufzeichnungen für diesen Zeitraum
这段时间还没有记录。XStats 运行时每分钟记录一次，睡眠与锁屏期间不记录。	Noch keine Aufzeichnungen für diesen Zeitraum. XStats zeichnet während des Betriebs jede Minute auf, außer im Ruhezustand oder bei gesperrtem Bildschirm.
这里列出资源库里的 LaunchAgents 与 LaunchDaemons。停用只写入系统的停用记录并卸载，不删除文件，随时可以重新启用；登录时打开的应用与后台权限在系统设置里管理。	Zeigt LaunchAgents und LaunchDaemons aus den Library-Ordnern. Deaktivieren trägt sie nur als deaktiviert ein und entlädt sie, ohne Dateien zu löschen; eine erneute Aktivierung ist jederzeit möglich. Anmelde-Apps und Hintergrundrechte verwalten Sie in den Systemeinstellungen.
这里显示已配对蓝牙配件，以及最近 30 分钟内读到的电量	Zeigt gekoppelte Bluetooth-Geräte und in den letzten 30 Minuten gelesene Akkustände
进程	Prozesse
进程 {} · 线程 {}	Prozesse {} · Threads {}
进程名：{}	Prozessname: {}
进程启动以来累计占用的 CPU 时间	Gesamte CPU-Zeit seit Prozessstart
进程页刷新频率调整为每 2 秒	Die Prozessseite wird jetzt alle 2 Sekunden aktualisiert
远端尚无设置文件，请先上传本机设置	Noch keine entfernte Einstellungsdatei vorhanden. Zuerst lokale Einstellungen hochladen
远端文件不是有效的 XStats 设置备份，本机设置未更改	Die entfernte Datei ist keine gültige XStats-Einstellungssicherung. Lokale Einstellungen bleiben unverändert
远端文件将替换为当前设置；其他 Mac 的改动不会合并。	Die entfernte Datei wird durch diese Einstellungen ersetzt; Änderungen anderer Macs werden nicht zusammengeführt.
远端文件已锁定，请稍后重试	Die entfernte Datei ist gesperrt. Später erneut versuchen
连不上	Nicht erreichbar
连接信息有改动，请先保存配置	Verbindungsdaten wurden geändert. Zuerst die Konfiguration sichern
连接探测	Verbindungsprüfung
连接探测历史	Prüfverlauf
连接探测只在需要时运行，更省电	Verbindungsprüfungen laufen nur bei Bedarf und sparen so Energie
退出	Beenden
退出 XStats	XStats beenden
退出应用	App beenden
退出应用…	App beenden …
退出登录	Abmelden
适中	Mäßig
选择显示项目	Elemente auswählen
选择语言	Sprache auswählen
通用	Allgemein
通电时间	Betriebsstunden
通电次数	Einschaltvorgänge
通知	Mitteilungen
通知可以正常显示。发生你打开的状况时，会像这样提醒你。	Mitteilungen funktionieren. Bei aktivierten Ereignissen werden Sie auf diese Weise benachrichtigt.
通过 {} 登录	Mit {} angemeldet
速度与省电介于两者之间	Bei Geschwindigkeit und Effizienz zwischen beiden
部分网站直连、部分经代理，每个网站走哪个出口见下方。	Einige Websites verbinden sich direkt, andere über einen Proxy. Die Ausgänge der Websites stehen unten.
部分项目需要“完全磁盘访问权限”才能扫描（Safari 缓存、废纸篓）。	Einige Objekte benötigen zum Scannen Festplattenvollzugriff (Safari-Caches, Papierkorb).
配置已保存，上传或下载时将验证连接	Konfiguration gesichert. Die Verbindung wird beim Hoch- oder Herunterladen geprüft
配置方式	Konfiguration
释放内存	Arbeitsspeicher freigeben
重做	Wiederholen
重新分析	Erneut analysieren
重新安装	Neu installieren
重新扫描	Erneut scannen
重新查询公网 IP	Öffentliche IP erneut abfragen
重新检测	Erneut prüfen
重新生成	Neu erstellen
重新读取蓝牙设备电量	Bluetooth-Batteriestände erneut lesen
重置上传与下载统计：从现在起重新累计。重启后自动回到开机后的累计；右键可改回	Upload- und Downloadzähler zurücksetzen und ab jetzt zählen. Nach einem Neustart gelten wieder die Werte seit Systemstart; per Rechtsklick lässt sich vorher zurückwechseln
重置后上传	Upload seit Zurücksetzen
重置后下载	Download seit Zurücksetzen
键盘、鼠标、耳机等低于 20% 时，在菜单栏的电池项目旁显示该设备的图标与电量；需要开启电池项目	Unter 20 % Ladestand von Tastatur, Maus, Kopfhörern o. Ä. Symbol und Ladestand neben dem Batterieelement anzeigen; Batterieelement muss aktiviert sein
闲	Leerlauf
防休眠	Wach halten
防休眠已开启	Wachhalten aktiviert
阿里云	Alibaba Cloud
阿里云（223.5.5.5）	Alibaba Cloud (223.5.5.5)
降温	Abkühlung
隐私	Datenschutz
隐私政策	Datenschutzerklärung
隐藏 XStats	XStats ausblenden
隐藏序列号	Seriennummer ausblenden
需要 macOS 26 及以上，并在系统设置中开启 Apple 智能。	Benötigt macOS 26 oder neuer und aktiviertes Apple Intelligence in den Systemeinstellungen.
需要完全磁盘访问权限	Festplattenvollzugriff erforderlich
需要注意	Aufmerksamkeit erforderlich
需要管理员授权	Administratorfreigabe erforderlich
需要管理员权限。已完成的 Time Machine 备份不受影响，只是本机上这些快照对应的时间点无法再从本地恢复。	Administratorrechte erforderlich. Abgeschlossene Time-Machine-Sicherungen bleiben erhalten; nur die Zeitpunkte dieser lokalen Schnappschüsse können auf diesem Mac nicht mehr wiederhergestellt werden.
非常干净	Sehr sauber
风扇	Lüfter
风扇 {}	Lüfter {}
风扇安全温度	Sicherheitstemperatur der Lüfter
风扇模式	Lüftermodus
风扇设置	Lüftereinstellungen
风扇转速	Lüfterdrehzahl
风格	Stil
风险标记	Risikomerkmale
风险评分	Risikowert
饼图	Kreisdiagramm
饼图表示当前占用比例	Ein Kreisdiagramm zeigt die aktuelle Auslastung
首次发送时系统会询问是否允许通知	Beim ersten Senden fragt das System nach Ihrer Erlaubnis
高占用进程	Aktivste Prozesse
高负载	Hohe Auslastung
高负载时着色	Hohe Auslastung einfärben
高风险	Hohes Risiko
默认只在菜单栏运行；打开后，主窗口开着时图标出现在程序坞与 ⌘Tab 中	XStats läuft standardmäßig nur in der Menüleiste. Aktivieren, um das Symbol bei geöffnetem Hauptfenster auch im Dock und in ⌘Tab anzuzeigen
（{}）	 ({})
，	, 
，{} 项未能移动	, {} konnten nicht verschoben werden
，充电中	, wird geladen
，已从程序坞移除	, aus dem Dock entfernt
：{}	: {}
尚未启用	Nicht aktiviert
正在刷新	Wird aktualisiert
立即刷新	Jetzt aktualisieren
默认关闭	Standardmäßig aus
AI 使用统计	KI-Nutzung
Codex / Claude Code 本机模型与 Token 使用统计	Lokale Codex / Claude Code-Modell- und Token-Nutzung
今天	Heute
模型	Modell
全部模型	Alle Modelle
输入 Token	Eingabe-Tokens
输出 Token	Ausgabe-Tokens
缓存 Token	Cache-Tokens
缓存命中率	Cache-Trefferrate
用量记录	Nutzungsdatensätze
模型排行	Modellrangliste
启用使用统计	Nutzungsstatistik aktivieren
只读本机 Codex / Claude Code 会话日志，按模型统计 Token；不读取登录凭据，不查询订阅额度。	Liest lokale Codex / Claude Code-Sitzungsprotokolle für Tokens je Modell. Keine Anmeldedaten oder Kontingentabfragen.
缓存 Token 已包含在输入中，推理 Token 已包含在输出中。	Cache-Tokens sind in der Eingabe, Reasoning-Tokens in der Ausgabe enthalten.
所选时间范围没有用量记录	Keine Nutzung in diesem Zeitraum
部分会话日志无法读取，统计可能不完整	Einige Protokolle sind nicht lesbar; die Statistik ist eventuell unvollständig
读取失败，显示上次统计结果	Lesen fehlgeschlagen; vorherige Statistik angezeigt
正在读取会话日志…	Sitzungsprotokolle werden gelesen…
暂无本机用量数据	Keine lokalen Nutzungsdaten
仅统计本机日志，不代表订阅账单或其他设备的用量	Nur lokale Protokolle; keine Abrechnung oder Nutzung anderer Geräte
缓存创建 Token	Cache-Erstellungs-Tokens
Token 活动	Token-Aktivität
每日	Täglich
每周	Wöchentlich
{} 当周：{} Tokens	Woche vom {}: {} Tokens
截至 {} 当周累计：{} Tokens	Bis zur Woche vom {}: {} Tokens kumuliert
AI 助手	AI Assistant
AI 解释	AI Explanation
用 AI 解释	Explain with AI
配置 AI 助手	Configure AI Assistant
默认服务	Default service
Apple 智能	Apple Intelligence
Apple 智能不可用时	When Apple Intelligence is unavailable
备用服务	Fallback service
不使用备用	No fallback
CLI 服务	CLI services
选择 Codex 或 Claude 作为默认或备用服务后，点击解释才会通过 CLI 联网发送脱敏进程摘要，并可能消耗额度。不发送完整路径、命令行参数或环境变量。	Choosing Codex or Claude as default or fallback authorizes sending a redacted process summary through that CLI when you click Explain. This may use the network and consume quota. Full paths, process arguments and environment variables are not sent.
测试进程解释	Test process explanation
正在生成解释…	Generating explanation…
可用（本机生成）	Available (on-device)
用于解释进程，不自动执行系统操作	Explains processes without automatically performing system actions
仅在设备、系统或模型不可用时使用备用服务	Fallback is used only when the device, system or model is unavailable
CLI 使用独立临时目录，不加载项目规则或扩展工具。Codex 忽略用户配置；模型留空使用 CLI 内置默认。登录由 CLI 自行管理。	CLI calls use a separate temporary directory without project rules or extension tools. Codex ignores user configuration; leave the model blank for the CLI built-in default. The CLI manages authentication.
可执行文件路径（留空自动发现）	Executable path (blank for automatic discovery)
模型（留空使用默认）	Model (blank for default)
未找到 CLI，请先安装或指定路径。	CLI not found. Install it or specify its path.
AI 助手已关闭，请在设置中启用。	AI Assistant is disabled. Enable it in Settings.
通过本机 CLI 调用 AI 服务，可能联网并消耗额度；结束进程前请自行确认。	Uses a local CLI to call an AI service, which may access the network and consume quota. Verify before quitting a process.
没有找到可执行的 CLI，请在 AI 助手设置中选择路径。	No executable CLI found. Specify its path in AI Assistant settings.
CLI 调用失败（退出码 {}）。请检查 CLI 版本和登录状态后重试。	CLI failed (exit code {}). Check its version and login status before retrying.
AI 请求超时，请稍后重试。	AI request timed out. Try again later.
CLI 返回内容过多，已停止本次请求。	CLI output exceeded the limit. The request was stopped.
CLI 尚未登录或登录已过期，请在终端重新登录。	CLI is not signed in or its login expired. Sign in again in your terminal.
AI 服务限流或额度不足，请稍后重试。	The AI service is rate-limited or out of quota. Try again later.
无法连接 AI 服务，请检查网络或 CLI 配置。	Cannot connect to the AI service. Check the network and CLI configuration.
当前 CLI 不支持所需的隔离参数，请升级 CLI。	This CLI does not support the required isolation options. Please upgrade it.
遇到时询问	Ask when unavailable
Apple 智能不可用。选择一次备用服务，后续会自动使用，也可以随时在设置中修改。	Apple Intelligence is unavailable. Choose a fallback once; the choice will be remembered and can be changed in Settings.
稍后再选	Decide later
日历	Kalender
菜单栏日历	Menüleistenkalender
日历设置…	Kalendereinstellungen…
独立显示日期，点击打开月历；不受指标合并布局影响	Separates Datum; ein Klick öffnet den Kalender, auch bei kombinierten Messwerten
每周开始于	Wochenbeginn
星期一	Montag
星期日	Sonntag
农历	Chinesischer Mondkalender
星期	Wochentage
法定节假日与调休	Feiertage und Ausgleichsarbeitstage
传统与公历节日	Traditionelle und gregorianische Feste
二十四节气	24 Sonnenperioden
干支	Sechzigjahreszyklus
三伏天	Hundstage
梅雨天	Traditionelle Pflaumenregenzeit
藏历	Tibetischer Kalender
回历	Hidschri-Kalender
公历始终显示。藏历与回历显示在日期详情中；梅雨天按传统历法推算，并非天气预报。	Gregorianische Daten bleiben sichtbar. Tibetische und Hidschri-Daten stehen in den Tagesdetails. Die Pflaumenregenzeit folgt traditionellen Kalenderregeln, nicht Wettervorhersagen.
该日期暂无藏历数据	Für dieses Datum sind keine tibetischen Kalenderdaten verfügbar
该年份暂无中国法定假日与调休数据	Für dieses Jahr fehlen chinesische Feiertags- und Ausgleichsarbeitstagsdaten
按传统历法推算，并非天气预报	Traditionelle Kalenderberechnung, keine Wettervorhersage
年份	Jahr
月份	Monat
上个月	Vorheriger Monat
下个月	Nächster Monat
班	A
休	F
调休上班	Ausgleichsarbeitstag
放假	Feiertag
春节	Frühlingsfest
元宵节	Laternenfest
龙头节	Longtaitou
上巳节	Shangsi-Fest
清明节	Qingming-Fest
端午节	Drachenbootfest
七夕节	Qixi-Fest
中元节	Geisterfest
中秋节	Mittherbstfest
重阳节	Doppelneunfest
冬至节	Wintersonnenwendfest
腊八节	Laba-Fest
除夕	Mondneujahrsabend
元旦	Neujahr
劳动节	Tag der Arbeit
国庆节	Nationalfeiertag
国庆中秋	Nationalfeiertag / Mittherbstfest
抗战胜利日	Tag des Sieges
立春	Frühlingsbeginn
雨水	Regenwasser
惊蛰	Erwachen der Insekten
春分	Frühlings-Tagundnachtgleiche
清明	Helle Klarheit
谷雨	Getreideregen
立夏	Sommerbeginn
小满	Kleine Fülle
芒种	Ährensaat
夏至	Sommersonnenwende
小暑	Kleine Hitze
大暑	Große Hitze
立秋	Herbstbeginn
处暑	Ende der Hitze
白露	Weißer Tau
秋分	Herbst-Tagundnachtgleiche
寒露	Kalter Tau
霜降	Reifbeginn
立冬	Winterbeginn
小雪	Kleiner Schnee
大雪	Großer Schnee
冬至	Wintersonnenwende
小寒	Kleine Kälte
大寒	Große Kälte
返回月历	Zurück zum Kalender
控制月历格中的日干支；黄历详情始终显示年月日干支	Tageszyklus in Monatszellen anzeigen; Almanachdetails enthalten immer Jahres-, Monats- und Tageszyklen
宜	Günstig
忌	Meiden
纳音	Na Yin
冲煞	Konflikt / Sha
冲{} 煞{}	Konflikt: {} · Sha: {}
值神	Tagesgottheit
建除十二神	Zwölf Tagesämter
吉神宜趋	Günstige Gottheiten
今日胎神	Fötusgottheit
凶神宜忌	Ungünstige Gottheiten
彭祖百忌	Peng-Zu-Tabus
二十八星宿	Mondhäuser
时辰吉凶	Stundenglück
子时显示当日早子时；23 点起的晚子时按次日干支计算	Zi zeigt 00:00–00:59; ab 23:00 gilt der Zyklus des Folgetags
吉	Glück
凶	Unglück
