# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
绿色正常、橙色偏高（60% 以上）、红色很高（85% 以上）	초록색은 정상, 주황색은 높음(60% 초과), 빨간색은 매우 높음(85% 초과)
缓存	캐시
缓存与日志直接删除，下载内容移到废纸篓。	캐시와 로그는 바로 삭제하고 다운로드는 휴지통으로 이동합니다.
缓存也先移到废纸篓	캐시도 휴지통으로 이동
编辑	편집
网站	사이트
网站分流	사이트별 라우팅
网站没有接入 Cloudflare，读不到出口，按国内 / 国际规则归到对应出口	이 사이트는 Cloudflare를 사용하지 않아 출구를 확인할 수 없으므로 중국 내/해외 규칙으로 분류합니다
网络	네트워크
网络不通	연결 없음
网络名称	네트워크 이름
网络已恢复	네트워크 복구
网络断开	네트워크 끊김
网络测速	네트워크 속도 측정
网络环境变了，下面是之前的结果，正在重新检测。	네트워크가 변경되었습니다. 아래는 이전 결과이며 다시 확인 중입니다.
网络类型	네트워크 유형
网络详情打开时每秒 ping 一次，通了是绿格、不通是红格，显示最近 60 次	네트워크 상세 정보가 열려 있으면 매초 ping을 보냅니다. 연결 가능은 초록색, 불가능은 빨간색이며 최근 60회를 표시합니다
网络运营方	네트워크 운영자
网络连接中断超过 20 秒，恢复后再提示一次	네트워크가 20초 넘게 끊기면 알리고 복구 시 다시 알립니다
网络连接已中断超过 20 秒。可以打开网络详情查看接口与路由器状态。	네트워크가 20초 넘게 끊겼습니다. 네트워크 상세 정보에서 인터페이스와 라우터 상태를 확인하세요.
网络连接已经恢复。	네트워크 연결이 복구되었습니다.
网络：{}	네트워크: {}
网页数据	웹 데이터
网页缓存与脚本缓存，不涉及 Cookie、历史记录和密码	웹 및 스크립트 캐시입니다. 쿠키, 기록, 암호는 유지합니다
置信度	확신도
联动	와이어드 메모리
能效核	효율 코어
腾讯 DNSPod	Tencent DNSPod
腾讯（119.29.29.29）	Tencent(119.29.29.29)
自 {} 起	{} 이후
自动	자동
自动代理配置	자동 프록시 구성
自动检查更新	업데이트 자동 확인
自动检测	자동 감지
自动（由路由器分配）	자동(라우터에서 할당)
自定义	사용자 설정
自定义模式下 CPU 达到 {}°C 会自动交还系统控制；退出应用时风扇恢复自动。	사용자 설정 모드에서 CPU가 {}°C에 도달하면 시스템 제어로 돌아갑니다. 앱을 종료해도 팬이 자동 제어로 복귀합니다.
自定义转速时，CPU 达到该温度自动恢复系统控制	사용자 설정 속도에서 CPU가 이 온도에 도달하면 시스템 제어로 복귀합니다
自己的进程为实际占用内存，系统进程为常驻内存	자신의 프로세스는 실제 점유 메모리, 시스템 프로세스는 상주 메모리 표시
致谢	감사의 말
良好	좋음
节点	노드
芯片	칩
菜单栏	메뉴 막대
菜单栏图标	메뉴 막대 아이콘
菜单栏布局	메뉴 막대 레이아웃
菜单栏里的图标可以调整顺序：按住 ⌘ 键拖动任意一个，松开后位置会一直保留。新开启的项目由系统安排位置，可能离其他图标较远，拖一下就能挪到一起。	메뉴 막대 아이콘은 ⌘ 키를 누른 채 드래그하면 순서를 바꿀 수 있으며 위치가 저장됩니다. 새 항목의 첫 위치는 macOS가 지정하므로 떨어져 있으면 드래그하여 모으세요.
菜单栏里还没有开启任何项目。	메뉴 막대에 켜진 항목이 없습니다.
菜单栏项目	메뉴 막대 항목
菜单栏风格	메뉴 막대 스타일
蓝牙设备	Bluetooth 기기
蓝牙设备电量 {}%	Bluetooth 기기 배터리 {}%
蓝牙设备电量低	Bluetooth 배터리 부족
蓝牙设备电量低时提示	Bluetooth 배터리 부족 표시
覆盖远端设置？	원격 설정을 덮어쓰시겠습니까?
解压失败：{}	압축 해제 실패: {}
计算中	계산 중
记录历史数据	기록 저장
设置	설정
设置 · {}	설정 · {}
设置…	설정…
设置同步	설정 동기화
设置备份版本不受支持，请先更新 XStats	지원하지 않는 백업 버전입니다. 먼저 XStats를 업데이트하세요
设置改动后 2 秒内上传；启动、唤醒与每 15 分钟检查一次云端	설정 변경 후 2초 이내 업로드합니다. 실행 시, 잠자기 해제 시, 15분마다 클라우드를 확인합니다
设置文件超过 1 MB，已停止同步	설정 파일이 1 MB를 초과하여 동기화를 중지했습니다
设置风扇目标转速，或恢复系统自动控制	팬 목표 속도를 설정하거나 시스템 자동 제어로 복귀합니다
评分由 cleanip.io 提供，点击查看完整报告	cleanip.io 제공 점수입니다. 클릭하여 전체 보고서 열기
该项目在菜单栏里的实时效果	메뉴 막대에서 이 항목의 실시간 미리보기
详情关闭时，菜单栏显示网络项期间每 {} 秒探测一次，打开详情就能看到最近的连接情况；关闭后只在打开详情时探测，更省电	상세 정보를 닫고 메뉴 막대에 네트워크를 표시하는 동안 {}초마다 측정하여 상세 정보를 열 때 최근 결과를 표시합니다. 끄면 상세 정보가 열려 있을 때만 측정해 전력을 절약합니다
语言	언어
请从菜单退出 XStats	메뉴에서 XStats를 종료하세요
请先保存 WebDAV 配置	먼저 WebDAV 구성을 저장하세요
请先在“系统设置 → Apple 智能与 Siri”中开启 Apple 智能。	먼저 시스템 설정 → Apple Intelligence 및 Siri에서 Apple Intelligence를 켜세요.
请在“系统设置 › 通用 › 登录项”中允许 XStats 的后台项目。	시스템 설정 › 일반 › 로그인 항목에서 XStats의 백그라운드 항목을 허용하세요.
请填写一个域名，例如 example.com	도메인을 입력하세요(예: example.com)
请填写已存在的 HTTPS 目录；文件名固定为 xstats-settings.json。	기존 HTTPS 폴더를 입력하세요. 파일 이름은 xstats-settings.json입니다.
请打开系统自带的“磁盘工具”，选择启动盘运行“急救”进行修复	기본 디스크 유틸리티에서 시동 디스크를 선택하고 검사/복구를 실행하세요
请输入 WebDAV 密码或应用专用密码	WebDAV 암호 또는 앱 전용 암호를 입력하세요
请输入 WebDAV 用户名，不能包含冒号或控制字符	콜론이나 제어 문자가 없는 WebDAV 사용자 이름을 입력하세요
请输入有效的 HTTPS WebDAV 目录地址，不要包含账号、查询参数或片段	인증 정보, 쿼리 매개변수, 프래그먼트가 없는 유효한 HTTPS WebDAV 폴더 URL을 입력하세요
读 {} · 写 {}	읽기 {} · 쓰기 {}
读写最多的应用	디스크 활동 상위 앱
读写速度	읽기 및 쓰기 속도
读到了这次连接的出口	이 연결의 출구를 직접 확인했습니다
读取	읽기
读取中	읽는 중
调节风扇需要安装辅助工具，仅需管理员授权一次。	팬 조절에는 도우미가 필요하며 관리자 승인은 처음 한 번만 필요합니다.
调速模式	팬 제어 모드
负载在上升	부하 상승 중
负载在下降	부하 하락 중
负载平稳	부하 안정
账号	계정
账号与云端设置会立即删除，无法恢复。	계정과 클라우드 설정이 즉시 삭제되며 복원할 수 없습니다.
账号与同步	계정 및 동기화
走势图显示最近多长时间	추이 그래프에 표시할 기간
走势时长	추이 기간
超时	시간 초과
超级核	슈퍼 코어
超过 1 天未更新的 .crdownload / .part / .download	하루 넘게 갱신되지 않은 .crdownload / .part / .download
跟随整体	전체 설정 따르기
跟随整体（{}）	전체 설정 따르기({})
跟随系统	시스템 설정 따르기
路径不可读	경로를 읽을 수 없습니다
路径包含 ..	경로에 ..이 포함되어 있습니다
路径包含控制字符	경로에 제어 문자가 포함되어 있습니다
路由器	라우터
路由器（网关）	라우터(게이트웨이)
跳过 {} 项	{}개 건너뜀
跳过此版本	이 버전 건너뛰기
转速 {}	회전 속도 {}
转速最高的风扇	가장 빠른 팬
软件更新	소프트웨어 업데이트
轻量的 macOS 菜单栏系统监控：CPU、GPU、内存、网络、温度、风扇、防休眠与清理。	가벼운 macOS 메뉴 막대 모니터: CPU, GPU, 메모리, 네트워크, 온도, 팬, 잠자기 방지, 정리.
较弱	약함
辅助工具	도우미
辅助工具未启用	도우미가 활성화되지 않았습니다
辅助工具版本比应用旧，部分功能可能无法使用，请重新安装一次（需要管理员授权）。	도우미가 앱보다 오래되어 일부 기능이 작동하지 않을 수 있습니다. 다시 설치하세요(관리자 승인 필요).
过热温度	과열 기준 온도
运行中 · PID {}	실행 중 · PID {}
还可用	사용 가능
还有 {} 个	{}개 더 있음
还没有足够的记录。菜单栏显示电池或打开这个页面时，每分钟记录一次电量	기록이 아직 부족합니다. 메뉴 막대에 배터리를 표시하거나 이 페이지가 열려 있으면 매분 잔량을 기록합니다
还能用 {}	{} 남음
这一类没有检测结果	이 분류의 결과 없음
这个小时的免费额度用完了，{} 分钟后可以再试	이번 시간의 무료 할당량을 모두 사용했습니다. {}분 후 다시 시도하세요
这个小时的免费额度用完了，过一会儿再试	이번 시간의 무료 할당량을 모두 사용했습니다. 나중에 다시 시도하세요
这个快捷键已被其他应用或系统占用，请换一个	다른 앱 또는 시스템이 사용하는 단축키입니다. 다른 단축키를 선택하세요
这台 Mac 不提供功耗读数	이 Mac은 소비 전력을 제공하지 않습니다
这台 Mac 不支持 Apple 智能。	이 Mac은 Apple Intelligence를 지원하지 않습니다.
这台 Mac 没有电池	이 Mac에는 배터리가 없습니다
这台 Mac 没有电池：菜单栏显示电量最低的蓝牙设备，弹窗只列蓝牙设备	배터리가 없는 Mac에서는 메뉴 막대에 잔량이 가장 적은 Bluetooth 기기를 표시하고 팝오버에는 Bluetooth 기기만 표시합니다
这段时间没有记录	이 기간의 기록 없음
这段时间还没有记录。XStats 运行时每分钟记录一次，睡眠与锁屏期间不记录。	이 기간의 기록이 아직 없습니다. XStats 실행 중 매분 기록하며 잠자기 및 화면 잠금 중에는 기록하지 않습니다.
这里列出资源库里的 LaunchAgents 与 LaunchDaemons。停用只写入系统的停用记录并卸载，不删除文件，随时可以重新启用；登录时打开的应用与后台权限在系统设置里管理。	라이브러리의 LaunchAgents와 LaunchDaemons를 표시합니다. 끄면 비활성 상태로 기록하고 언로드하며 파일을 삭제하지 않으므로 언제든 다시 켤 수 있습니다. 로그인 앱과 백그라운드 권한은 시스템 설정에서 관리합니다.
这里显示已配对蓝牙配件，以及最近 30 分钟内读到的电量	페어링된 Bluetooth 액세서리와 최근 30분 이내에 읽은 배터리를 표시합니다
进程	프로세스
进程 {} · 线程 {}	프로세스 {} · 스레드 {}
进程名：{}	프로세스 이름: {}
进程启动以来累计占用的 CPU 时间	프로세스 시작 이후 누적 CPU 시간
进程页刷新频率调整为每 2 秒	프로세스 페이지 새로 고침 간격을 2초로 변경했습니다
远端尚无设置文件，请先上传本机设置	원격 설정 파일이 없습니다. 먼저 이 Mac의 설정을 업로드하세요
远端文件不是有效的 XStats 设置备份，本机设置未更改	원격 파일이 유효한 XStats 설정 백업이 아닙니다. 로컬 설정은 변경되지 않았습니다
远端文件将替换为当前设置；其他 Mac 的改动不会合并。	원격 파일을 현재 설정으로 교체합니다. 다른 Mac의 변경 사항은 병합되지 않습니다.
远端文件已锁定，请稍后重试	원격 파일이 잠겨 있습니다. 나중에 다시 시도하세요
连不上	연결 불가
连接信息有改动，请先保存配置	연결 정보가 변경되었습니다. 먼저 구성을 저장하세요
连接探测	연결 확인
连接探测历史	연결 확인 기록
连接探测只在需要时运行，更省电	연결 확인은 필요할 때만 실행하여 전력을 절약합니다
退出	종료
退出 XStats	XStats 종료
退出应用	앱 종료
退出应用…	앱 종료…
退出登录	로그아웃
适中	보통
选择显示项目	표시 항목 선택
选择语言	언어 선택
通用	일반
通电时间	전원 켜짐 시간
通电次数	전원 켜짐 횟수
通知	알림
通知可以正常显示。发生你打开的状况时，会像这样提醒你。	알림이 정상 작동합니다. 켜 둔 상황이 발생하면 이렇게 알려 드립니다.
通过 {} 登录	{}(으)로 로그인됨
速度与省电介于两者之间	속도와 전력 효율이 둘 사이
部分网站直连、部分经代理，每个网站走哪个出口见下方。	일부 사이트는 직접 연결하고 일부는 프록시를 통합니다. 사이트별 출구는 아래를 확인하세요.
部分项目需要“完全磁盘访问权限”才能扫描（Safari 缓存、废纸篓）。	일부 항목(Safari 캐시, 휴지통)을 스캔하려면 전체 디스크 접근 권한이 필요합니다.
配置已保存，上传或下载时将验证连接	구성을 저장했습니다. 업로드 또는 다운로드 시 연결을 확인합니다
配置方式	구성 방식
释放内存	메모리 확보
重做	실행 복귀
重新分析	다시 분석
重新安装	다시 설치
重新扫描	다시 스캔
重新查询公网 IP	공인 IP 다시 조회
重新检测	다시 확인
重新生成	다시 생성
重新读取蓝牙设备电量	Bluetooth 기기 배터리 다시 읽기
重置上传与下载统计：从现在起重新累计。重启后自动回到开机后的累计；右键可改回	업로드와 다운로드 누계를 초기화하고 지금부터 계산합니다. 다시 시작하면 부팅 이후 누계로 돌아갑니다. 오른쪽 클릭으로도 되돌릴 수 있습니다
重置后上传	초기화 이후 업로드
重置后下载	초기화 이후 다운로드
键盘、鼠标、耳机等低于 20% 时，在菜单栏的电池项目旁显示该设备的图标与电量；需要开启电池项目	키보드, 마우스, 헤드폰 등의 잔량이 20% 미만이면 메뉴 막대 배터리 항목 옆에 아이콘과 잔량을 표시합니다. 배터리 항목을 켜야 합니다
闲	유휴
防休眠	잠자기 방지
防休眠已开启	잠자기 방지 켜짐
阿里云	Alibaba Cloud
阿里云（223.5.5.5）	Alibaba Cloud(223.5.5.5)
降温	냉각
隐私	개인정보 보호
隐私政策	개인정보 처리방침
隐藏 XStats	XStats 숨기기
隐藏序列号	일련 번호 숨기기
需要 macOS 26 及以上，并在系统设置中开启 Apple 智能。	macOS 26 이상이 필요하며 시스템 설정에서 Apple Intelligence를 켜야 합니다.
需要完全磁盘访问权限	전체 디스크 접근 권한 필요
需要注意	주의 필요
需要管理员授权	관리자 승인 필요
需要管理员权限。已完成的 Time Machine 备份不受影响，只是本机上这些快照对应的时间点无法再从本地恢复。	관리자 권한이 필요합니다. 완료된 Time Machine 백업에는 영향이 없지만 이 Mac에서 해당 시점으로 로컬 복원할 수 없게 됩니다.
非常干净	매우 깨끗함
风扇	팬
风扇 {}	팬 {}
风扇安全温度	팬 안전 온도
风扇模式	팬 모드
风扇设置	팬 설정
风扇转速	팬 속도
风格	스타일
风险标记	위험 표시
风险评分	위험 점수
饼图	원형 그래프
饼图表示当前占用比例	원형 그래프는 현재 사용률을 표시합니다
首次发送时系统会询问是否允许通知	처음 보낼 때 시스템이 알림 허용을 요청합니다
高占用进程	사용률 상위 프로세스
高负载	높은 부하
高负载时着色	고부하 시 색상 표시
高风险	높은 위험
默认只在菜单栏运行；打开后，主窗口开着时图标出现在程序坞与 ⌘Tab 中	기본적으로 메뉴 막대에서만 실행됩니다. 켜면 주 윈도우가 열려 있을 때 Dock 및 ⌘Tab에도 아이콘이 표시됩니다
（{}）	({})
，	, 
，{} 项未能移动	, {}개를 이동하지 못했습니다
，充电中	, 충전 중
，已从程序坞移除	, Dock에서 제거됨
：{}	: {}
尚未启用	사용 안 함
正在刷新	새로 고치는 중
立即刷新	지금 새로 고침
默认关闭	기본적으로 꺼짐
AI 使用统计	AI 사용 통계
Codex / Claude Code 本机模型与 Token 使用统计	Codex / Claude Code 로컬 모델 및 토큰 사용량
今天	오늘
模型	모델
全部模型	모든 모델
输入 Token	입력 토큰
输出 Token	출력 토큰
缓存 Token	캐시 토큰
缓存命中率	캐시 적중률
用量记录	사용 기록
模型排行	모델 순위
启用使用统计	사용 통계 활성화
只读本机 Codex / Claude Code 会话日志，按模型统计 Token；不读取登录凭据，不查询订阅额度。	로컬 Codex / Claude Code 세션 로그로 모델별 토큰을 집계합니다. 로그인 정보와 구독 한도는 조회하지 않습니다.
缓存 Token 已包含在输入中，推理 Token 已包含在输出中。	캐시 토큰은 입력에, 추론 토큰은 출력에 포함됩니다.
所选时间范围没有用量记录	선택한 기간에 사용 기록이 없습니다
部分会话日志无法读取，统计可能不完整	일부 로그를 읽을 수 없어 통계가 불완전할 수 있습니다
读取失败，显示上次统计结果	읽기 실패, 이전 통계 표시 중
正在读取会话日志…	세션 로그 읽는 중…
暂无本机用量数据	로컬 사용 데이터 없음
仅统计本机日志，不代表订阅账单或其他设备的用量	로컬 로그만 집계하며 구독 청구액이나 다른 기기 사용량은 아닙니다
缓存创建 Token	캐시 생성 토큰
Token 活动	토큰 활동
每日	일별
每周	주별
{} 当周：{} Tokens	{} 주: {} Tokens
截至 {} 当周累计：{} Tokens	{} 주까지 누적: {} Tokens
