# Copyright (C) 2026 ysicing
# SPDX-License-Identifier: AGPL-3.0-or-later
暂无数据	データがありません
解压失败：{}	展開に失敗しました：{}
计算中	計算中
记录历史数据	履歴を記録
设置	設定
设置 · {}	設定 · {}
设置…	設定…
设置同步	設定の同期
设置备份版本不受支持，请先更新 XStats	このバックアップのバージョンは未対応です。先にXStatsを更新してください
设置改动后 2 秒内上传；启动、唤醒与每 15 分钟检查一次云端	設定変更から2秒以内にアップロードします。起動時、スリープ解除時、15分ごとにクラウドを確認します
设置文件超过 1 MB，已停止同步	設定ファイルが1 MBを超えたため、同期を停止しました
设置风扇目标转速，或恢复系统自动控制	ファンの目標回転数を設定するか、システムの自動制御に戻します
评分由 cleanip.io 提供，点击查看完整报告	スコア提供：cleanip.io。クリックして詳細レポートを開く
该项目在菜单栏里的实时效果	この項目のメニューバーでのリアルタイム表示
详情关闭时，菜单栏显示网络项期间每 {} 秒探测一次，打开详情就能看到最近的连接情况；关闭后只在打开详情时探测，更省电	詳細を閉じていてメニューバーにネットワークを表示している間は、{}秒ごとに測定し、詳細を開くと最近の結果を表示します。オフにすると詳細表示中のみ測定し、電力を節約します
语言	言語
请从菜单退出 XStats	メニューからXStatsを終了してください
请先保存 WebDAV 配置	先にWebDAV設定を保存してください
请先在“系统设置 → Apple 智能与 Siri”中开启 Apple 智能。	先に「システム設定 → Apple IntelligenceとSiri」でApple Intelligenceをオンにしてください。
请在“系统设置 › 通用 › 登录项”中允许 XStats 的后台项目。	「システム設定 › 一般 › ログイン項目」でXStatsのバックグラウンド項目を許可してください。
请填写一个域名，例如 example.com	ドメインを入力してください（例：example.com）
请填写已存在的 HTTPS 目录；文件名固定为 xstats-settings.json。	既存のHTTPSフォルダを入力してください。ファイル名はxstats-settings.jsonです。
请打开系统自带的“磁盘工具”，选择启动盘运行“急救”进行修复	標準のディスクユーティリティを開き、起動ディスクを選んでFirst Aidで修復してください
请输入 WebDAV 密码或应用专用密码	WebDAVのパスワードまたはアプリ用パスワードを入力してください
请输入 WebDAV 用户名，不能包含冒号或控制字符	コロンや制御文字を含まないWebDAVユーザー名を入力してください
请输入有效的 HTTPS WebDAV 目录地址，不要包含账号、查询参数或片段	認証情報、クエリパラメータ、フラグメントを含まない有効なHTTPS WebDAVフォルダURLを入力してください
读 {} · 写 {}	読み取り {} · 書き込み {}
读写最多的应用	ディスク使用量の多いアプリ
读写速度	読み書き速度
读到了这次连接的出口	この接続の出口を直接取得しました
读取	読み取り
读取中	読み込み中
调节风扇需要安装辅助工具，仅需管理员授权一次。	ファンの調整にはヘルパーが必要です。管理者の承認は初回のみです。
调速模式	ファン制御モード
负载在上升	負荷が上昇中
负载在下降	負荷が低下中
负载平稳	負荷は安定
账号	アカウント
账号与云端设置会立即删除，无法恢复。	アカウントとクラウドの設定は直ちに削除され、復元できません。
账号与同步	アカウントと同期
走势图显示最近多长时间	グラフに表示する期間
走势时长	推移の期間
超时	タイムアウト
超级核	スーパーコア
超过 1 天未更新的 .crdownload / .part / .download	1日以上更新されていない.crdownload / .part / .download
跟随整体	全体に従う
跟随整体（{}）	全体に従う（{}）
跟随系统	システムに従う
路径不可读	パスを読み取れません
路径包含 ..	パスに..が含まれています
路径包含控制字符	パスに制御文字が含まれています
路由器	ルーター
路由器（网关）	ルーター（ゲートウェイ）
跳过 {} 项	{}項目をスキップ
跳过此版本	このバージョンをスキップ
转速 {}	回転数 {}
转速最高的风扇	回転数が最も高いファン
软件更新	ソフトウェアアップデート
在菜单栏掌握 Mac 状态；按需测速、控制风扇与清理空间，小组件和番茄钟助你保持专注。	メニューバーで Mac の状態を確認。必要に応じて回線速度を測定し、ファンを制御して空き容量を確保。ウィジェットとポモドーロタイマーで集中を支えます。
较弱	弱め
辅助工具	ヘルパー
辅助工具未启用	ヘルパーが有効になっていません
辅助工具版本比应用旧，部分功能可能无法使用，请重新安装一次（需要管理员授权）。	ヘルパーがアプリより古いため、一部機能が使えない場合があります。再インストールしてください（管理者の承認が必要）。
过热温度	過熱のしきい値
运行中 · PID {}	実行中 · PID {}
还可用	利用可能
还有 {} 个	ほか{}個
还没有足够的记录。菜单栏显示电池或打开这个页面时，每分钟记录一次电量	記録がまだ不足しています。メニューバーにバッテリーを表示中、またはこのページを開いている間、毎分残量を記録します
还能用 {}	残り{}
这一类没有检测结果	この分類の結果はありません
这个小时的免费额度用完了，{} 分钟后可以再试	今時間の無料枠を使い切りました。{}分後にお試しください
这个小时的免费额度用完了，过一会儿再试	今時間の無料枠を使い切りました。後でお試しください
这个快捷键已被其他应用或系统占用，请换一个	このショートカットは別のアプリまたはシステムが使用しています。他のキーを選んでください
这台 Mac 不提供功耗读数	このMacは消費電力を提供していません
Apple 智能本机模型当前不可用。	Apple Intelligenceのオンデバイスモデルは現在利用できません。
这台 Mac 没有电池	このMacにはバッテリーがありません
这台 Mac 没有电池：菜单栏显示电量最低的蓝牙设备，弹窗只列蓝牙设备	バッテリーのないMacでは、メニューバーに最も残量の少ないBluetoothデバイスを表示し、ポップオーバーにもBluetoothデバイスのみ表示します
这段时间没有记录	この期間の記録はありません
这段时间还没有记录。XStats 运行时每分钟记录一次，睡眠与锁屏期间不记录。	この期間の記録はまだありません。XStatsは実行中、毎分記録します。スリープ・画面ロック中は記録しません。
这里列出资源库里的 LaunchAgents 与 LaunchDaemons。停用只写入系统的停用记录并卸载，不删除文件，随时可以重新启用；登录时打开的应用与后台权限在系统设置里管理。	ライブラリのLaunchAgentsとLaunchDaemonsを表示します。無効化はシステムへの無効記録とアンロードのみで、ファイルを削除しないためいつでも再度有効にできます。ログイン時に開くアプリとバックグラウンド権限はシステム設定で管理します。
这里显示已配对蓝牙配件，以及最近 30 分钟内读到的电量	ペアリング済みのBluetoothアクセサリと、過去30分以内に取得したバッテリー残量を表示します
进程	プロセス
进程 {} · 线程 {}	プロセス {} · スレッド {}
进程名：{}	プロセス名：{}
进程启动以来累计占用的 CPU 时间	プロセス起動後の累計CPU時間
进程页刷新频率调整为每 2 秒	プロセスページの更新間隔を2秒にしました
远端尚无设置文件，请先上传本机设置	リモートに設定ファイルがありません。先にこのMacの設定をアップロードしてください
远端文件不是有效的 XStats 设置备份，本机设置未更改	リモートファイルは有効なXStats設定バックアップではありません。ローカル設定は変更していません
远端文件将替换为当前设置；其他 Mac 的改动不会合并。	リモートファイルを現在の設定で置き換えます。他のMacの変更は統合されません。
远端文件已锁定，请稍后重试	リモートファイルがロックされています。後で再試行してください
连不上	接続不可
连接信息有改动，请先保存配置	接続情報が変更されています。先に設定を保存してください
连接探测	接続確認
连接探测历史	接続確認の履歴
连接探测只在需要时运行，更省电	接続確認は必要なときだけ実行し、電力を節約します
退出	終了
退出 XStats	XStatsを終了
退出应用	アプリを終了
退出应用…	アプリを終了…
退出登录	サインアウト
适中	適度
选择显示项目	表示項目を選択
选择语言	言語を選択
通用	一般
可选功能	オプション機能
通电时间	通電時間
通电次数	電源投入回数
通知	通知
通知可以正常显示。发生你打开的状况时，会像这样提醒你。	通知は正常に表示されています。有効にした状況が発生すると、このようにお知らせします。
通过 {} 登录	{}でサインイン済み
速度与省电介于两者之间	速度と電力効率が両者の中間
部分网站直连、部分经代理，每个网站走哪个出口见下方。	直接接続するサイトとプロキシ経由のサイトがあります。各サイトの出口は以下をご覧ください。
部分项目需要“完全磁盘访问权限”才能扫描（Safari 缓存、废纸篓）。	一部項目（Safariキャッシュ、ゴミ箱）のスキャンにはフルディスクアクセスが必要です。
配置已保存，上传或下载时将验证连接	設定を保存しました。アップロード・ダウンロード時に接続を検証します
配置方式	構成方法
释放内存	メモリを解放
重做	やり直す
重新分析	再分析
重新安装	再インストール
重新扫描	再スキャン
重新查询公网 IP	公開IPを再取得
重新检测	再確認
重新生成	再生成
重新读取蓝牙设备电量	Bluetoothデバイスの残量を再取得
重置上传与下载统计：从现在起重新累计。重启后自动回到开机后的累计；右键可改回	アップロード・ダウンロードの累計をリセットして今から数えます。再起動後は起動後の累計に戻ります。右クリックでも戻せます
重置后上传	リセット後のアップロード
重置后下载	リセット後のダウンロード
键盘、鼠标、耳机等低于 20% 时，在菜单栏的电池项目旁显示该设备的图标与电量；需要开启电池项目	キーボード、マウス、ヘッドフォンなどの残量が20%未満になると、メニューバーのバッテリー項目の横にアイコンと残量を表示します。バッテリー項目の有効化が必要です
闲	アイドル
防休眠	スリープ防止
防休眠已开启	スリープ防止はオンです
阿里云	Alibaba Cloud
阿里云（223.5.5.5）	Alibaba Cloud（223.5.5.5）
降温	冷却
隐私	プライバシー
隐私政策	プライバシーポリシー
法律与隐私	法的情報とプライバシー
服务条款	利用規約
了解 XStats 的使用条件与责任边界	XStats の利用条件と責任範囲を確認
了解本机数据、联网功能与信息处理方式	ローカルデータとネットワーク機能の取り扱いを確認
无法读取法律文件	法的文書を読み込めません
关闭文档	閉じる
隐藏 XStats	XStatsを隠す
隐藏序列号	シリアル番号を隠す
需要 macOS 26 及以上，并在系统设置中开启 Apple 智能。	macOS 26以降が必要です。システム設定でApple Intelligenceをオンにしてください。
需要完全磁盘访问权限	フルディスクアクセスが必要
需要注意	確認が必要
需要管理员授权	管理者の承認が必要
需要管理员权限。已完成的 Time Machine 备份不受影响，只是本机上这些快照对应的时间点无法再从本地恢复。	管理者権限が必要です。完了済みのTime Machineバックアップに影響はありませんが、このMacから該当時点へ復元できなくなります。
非常干净	非常にクリーン
风扇	ファン
风扇 {}	ファン {}
风扇安全温度	ファンの安全温度
风扇模式	ファンモード
风扇设置	ファン設定
风扇转速	ファン回転数
风格	スタイル
风险标记	リスクフラグ
风险评分	リスクスコア
饼图	円グラフ
饼图表示当前占用比例	円グラフは現在の使用率を示します
首次发送时系统会询问是否允许通知	初回送信時にシステムが通知の許可を求めます
高占用进程	使用率の高いプロセス
高负载	高負荷
高负载时着色	高負荷時に色を変更
高风险	高リスク
默认只在菜单栏运行；打开后，主窗口开着时图标出现在程序坞与 ⌘Tab 中	標準ではメニューバーのみで動作します。オンにすると、メインウインドウ表示中はDockと⌘Tabにもアイコンを表示します
（{}）	（{}）
，	、
，{} 项未能移动	、{}項目を移動できませんでした
，充电中	、充電中
，已从程序坞移除	、Dockから削除済み
：{}	：{}
尚未启用	未有効
正在刷新	更新中
立即刷新	今すぐ更新
默认关闭	初期状態でオフ
AI 用量与额度	AI の使用量と利用枠
Codex / Claude Code 本机 Token 用量与订阅额度	Codex / Claude Code のローカル Token 使用量とサブスクリプション利用枠
今天	今日
模型	モデル
全部模型	すべてのモデル
输入 Token	入力トークン
输出 Token	出力トークン
缓存 Token	キャッシュトークン
缓存命中率	キャッシュヒット率
用量记录	使用記録
模型排行	モデル別使用量
启用使用统计	使用統計を有効にする
订阅额度	Subscription usage
服务端用量 · 与本机 Token 统计不同	Server usage · separate from local token statistics
重置：	Resets:
查询失败，显示上次额度	Query failed; showing previous quota
上次额度	前回の利用枠
显示本地用量	ローカル使用量を表示
读取本机会话日志；关闭后停止扫描并隐藏 Token 统计。	ローカルのセッションログを読み取ります。オフにするとスキャンを停止し、トークン統計を非表示にします。
自动检测 Codex / Claude 订阅额度；本地 Token 统计可单独关闭。	Codex / Claude のサブスクリプション利用枠を自動検出します。ローカルのトークン統計は個別にオフにできます。
暂无额度数据	No quota data yet
未检测到登录凭据，请先登录对应 CLI	No login credentials found; sign in with the corresponding CLI
登录已失效，请在对应 CLI 重新登录	Login expired; sign in again with the corresponding CLI
服务暂时限流，稍后会自动重试	Rate limited; will retry later
暂时无法连接额度服务	Cannot connect to the quota service right now
额度接口返回了无法识别的数据	The quota service returned unrecognized data
启用后自动读取本机 CLI 登录凭据，直接向 Codex / Claude 查询额度；凭据不保存到 XStats。	When enabled, reads local CLI login credentials and queries Codex / Claude directly; XStats does not save the credentials.
本机 Token 统计不代表订阅账单或其他设备的用量	Local token statistics are not a subscription bill or usage from other devices
缓存 Token 已包含在输入中，推理 Token 已包含在输出中。	キャッシュは入力に、推論は出力に含まれます。
所选时间范围没有用量记录	選択期間に使用記録がありません
部分会话日志无法读取，统计可能不完整	一部のログを読み込めず、統計が不完全な可能性があります
读取失败，显示上次统计结果	読み込み失敗。前回の統計を表示中
正在读取会话日志…	セッションログを読み込み中…
暂无本机用量数据	ローカル使用データがありません
缓存创建 Token	キャッシュ作成トークン
Token 活动	トークン活動
每日	日別
每周	週別
{} 当周：{} Tokens	{} の週：{} Tokens
截至 {} 当周累计：{} Tokens	{} の週までの累計：{} Tokens
Apple 智能	Apple Intelligence
日历	カレンダー
月历	月間カレンダー
查看整月的公历、农历与节假日。	月全体の新暦・旧暦の日付と祝日を表示します。
菜单栏日历	メニューバーカレンダー
日历设置…	カレンダー設定…
独立显示日期，点击打开月历；不受指标合并布局影响	日付を独立表示し、クリックで月表示を開きます。指標の結合設定には影響されません
每周开始于	週の開始曜日
星期一	月曜日
星期日	日曜日
农历	旧暦
星期	曜日
法定节假日与调休	祝日と振替出勤日
传统与公历节日	伝統と西暦の祝祭日
二十四节气	二十四節気
干支	干支
三伏天	三伏
梅雨天	入梅・出梅
三伏·梅雨·数九	三伏・梅雨・数九
初伏	初伏
中伏	中伏
末伏	末伏
入梅	入梅
出梅	出梅
一九	一九
二九	二九
三九	三九
四九	四九
五九	五九
六九	六九
七九	七九
八九	八九
九九	九九
{}第{}天	{1}の{2}日目
藏历	チベット暦
回历	ヒジュラ暦
公历始终显示。藏历与回历显示在日期详情中；梅雨天按传统历法推算，并非天气预报。	西暦は常に表示します。チベット暦とヒジュラ暦は日付の詳細に表示します。入梅・出梅は伝統的な暦の計算で、天気予報ではありません。
该日期暂无藏历数据	この日付のチベット暦データはありません
该年份暂无中国法定假日与调休数据	この年の中国の祝日・振替出勤日データはありません
按传统历法推算，并非天气预报	伝統的な暦の計算であり、天気予報ではありません
年份	年
月份	月
上个月	前の月
下个月	次の月
班	勤
休	休
调休上班	振替出勤
放假	休日
春节	春節
元宵节	元宵節
龙头节	龍頭節
上巳节	上巳節
清明节	清明節
端午节	端午節
七夕节	七夕節
中元节	中元節
中秋节	中秋節
重阳节	重陽節
冬至节	冬至節
腊八节	臘八節
除夕	旧暦の大晦日
元旦	元日
劳动节	労働節
国庆节	国慶節
国庆中秋	国慶節・中秋節
抗战胜利日	抗日戦争勝利記念日
立春	立春
雨水	雨水
惊蛰	啓蟄
春分	春分
清明	清明
谷雨	穀雨
立夏	立夏
小满	小満
芒种	芒種
夏至	夏至
小暑	小暑
大暑	大暑
立秋	立秋
处暑	処暑
白露	白露
秋分	秋分
寒露	寒露
霜降	霜降
立冬	立冬
小雪	小雪
大雪	大雪
冬至	冬至
小寒	小寒
大寒	大寒
返回月历	月表示に戻る
控制月历格中的日干支；黄历详情始终显示年月日干支	月表示の日干支を設定します。暦の詳細には年・月・日の干支を常に表示します
宜	宜
忌	忌
纳音	納音
冲煞	沖煞
冲{} 煞{}	沖：{} 煞：{}
值神	値神
建除十二神	建除十二直
吉神宜趋	吉神
今日胎神	今日の胎神
凶神宜忌	凶神
彭祖百忌	彭祖百忌
二十八星宿	二十八宿
时辰吉凶	時辰の吉凶
子时显示当日早子时；23 点起的晚子时按次日干支计算	子の刻は当日の0時台を表示します。23時以降は翌日の干支で計算します
吉	吉
凶	凶
Sub2API 备用额度	Sub2API 予備クォータ
已配置	設定済み
自动查询失败时才使用此 Sub2API 账号；后台不主动探测。	自動取得に失敗した場合だけこの Sub2API アカウントを使用します。バックグラウンドで能動的な検査は行いません。
Sub2API 地址（HTTPS）	Sub2API アドレス（HTTPS）
管理员邮箱	管理者メールアドレス
管理员密码	管理者パスワード
账号 ID	アカウント ID
管理员密码存于本机钥匙串；账号 ID 用于查询额度。	管理者パスワードはこの Mac のキーチェーンに保存され、アカウント ID で利用枠を選択します。
保存并测试连接	保存して接続をテスト
移除配置	設定を削除
Sub2API 配置无效	Sub2API の設定が無効です
Sub2API 配置无法读取，请检查设置	Sub2API の設定を読み取れません。設定を確認してください
Sub2API 配置已保存	Sub2API の設定を保存しました
Sub2API 配置已移除	Sub2API の設定を削除しました
Sub2API 配置移除失败，请检查钥匙串权限	Sub2API の設定を削除できません。キーチェーンへのアクセスを確認してください
连接成功，读取到 {} 个额度窗口	接続に成功し、{} 個のクォータ期間を取得しました
Sub2API 登录失败，请检查管理员邮箱和密码	Sub2API へのログインに失敗しました。管理者メールアドレスとパスワードを確認してください
Sub2API 连接失败，请检查地址、账号 ID 与服务状态	Sub2API に接続できません。アドレス、アカウント ID、サーバーの状態を確認してください
Sub2API 返回了无法识别的额度数据	Sub2API から認識できないクォータデータが返されました
暂时无法连接 Sub2API	現在 Sub2API に接続できません
请输入有效的 Sub2API HTTPS 地址	有効な Sub2API HTTPS アドレスを入力してください
请输入有效的账号 ID	有効なアカウント ID を入力してください
请填写管理员邮箱和密码	管理者メールアドレスとパスワードを入力してください
钥匙串读写失败，请检查权限	キーチェーンの読み書きに失敗しました。権限を確認してください
Sub2API 账号平台与所选来源不匹配	Sub2API アカウントのプラットフォームが選択したソースと一致しません
本机账号可用，当前使用自动额度。	ローカルアカウントが利用可能です。現在は自動取得した利用枠を使用しています。
上班	勤務日
不上班	休み
暂无安排	予定データなし
暂无法判断	判定できません
工作日	平日
周末	週末
节假日	祝日
调休补班	振替出勤
调休放假	振替休日
黄道日	吉日
黑道日	凶日
查看今天的节日与黄历。	今日の祝祭日と暦注を表示します。
明天上班吗	明日は出勤？
查看明天是否上班或放假。	明日が勤務日か休日かを確認します。
休息声音	休憩中の音
仅在休息时本地实时合成	休憩中に Mac 上でリアルタイム生成
白噪音	ホワイトノイズ
粉红噪音	ピンクノイズ
雨声	雨音
让眼睛休息一下	目を休めましょう
看看远处，轻轻眨眼，放松肩颈	遠くを見て、やさしくまばたきし、肩の力を抜きましょう
长按跳过 · 或按 Esc 随时返回	長押しでスキップ · Esc キーでも戻れます
休息中	休憩中
收起迷你 HUD	ミニ HUD を隠す
护眼休息未开启	目の休憩はオフです
查看下一次休息或当前休息倒计时。	次の休憩または現在の休憩の残り時間を表示します。
收起到迷你 HUD	ミニ HUD に折りたたむ
番茄钟	ポモドーロタイマー
番茄钟与护眼休息	ポモドーロと目の休憩
专注计时、每日目标与多屏休息幕布；所有数据留在本机。	集中タイマー、毎日の目標、全画面の休憩オーバーレイ。データはこの Mac 内に保存されます。
专注	集中
短休	短い休憩
长休	長い休憩
单次	1 回
循环	繰り返し
计时中	計測中
已暂停	一時停止中
暂停	一時停止
开始	開始
重置	リセット
跳过	スキップ
今日目标	今日の目標
每完成 4 轮专注后进入长休	集中を 4 回終えると長い休憩に入ります
每日目标	1 日の目標
{} 轮	{} 回
再专注 5 分钟	あと 5 分集中する
专注中	集中中
工作时长（分钟）	作業時間（分）
休息时长（分钟）	休憩時間（分）
长休时长（分钟）	長い休憩の時間（分）
迷你 HUD 样式	ミニ HUD の表示
数字倒计时	数字カウントダウン
进度圆环	進捗リング
沙漏	砂時計
切换迷你 HUD 样式	ミニ HUD の表示を切り替え
拖动迷你 HUD	ミニ HUD をドラッグ
继续	続ける
VPN 不允许绕开它直连，TCP 建连会被本机代理提前应答，测不出真实延迟。关掉 VPN 再测	VPNが直接接続を許可せず、ローカルプロキシがTCP接続に先に応答するため、実際の遅延を測定できません。VPNを切って再試行してください
国内节点只能测 TCP 建连，经代理测不准，所以始终直连测	中国国内のノードはTCP接続時間のみ測定でき、プロキシ経由では不正確になるため常に直接接続で測定します
检测到 {}。直连会绕开它，测的是本机宽带；经 {} 测的是代理线路	{}を検出しました。直接接続ではこれを迂回して回線を測定し、{}経由ではプロキシ経路を測定します
